Winning Electorate Candidate Votes,,,,,,
Electoral District,Electorate Candidate,Party,Valid Votes,Majority,Percentage of Elected Candidate Votes cast in Electorate,On the Party List
Auckland Central,"KAYE, Nicola Laura",National Party,12494,600,45.84%,Yes
Bay of Plenty,"MULLER, Todd Michael",National Party,21735,15096,60.69%,Yes
Botany,"ROSS, Jami-Lee Matenga ",National Party,21044,13495,65.12%,Yes
Christchurch Central,"WAGNER, Nicola Joanne",National Party,15346,2420,46.22%,Yes
Christchurch East,"WILLIAMS, Munokoa Poto",Labour Party,15221,4073,48.09%,Yes
Clutha-Southland,"BARCLAY, Todd Keith",National Party,21561,14886,64.06%,Yes
Coromandel,"SIMPSON, Scott Anthony",National Party,21934,15801,58.72%,Yes
Dunedin North,"CLARK, David Scott",Labour Party,16315,5917,47.40%,Yes
Dunedin South,"CURRAN, Clare Elizabeth",Labour Party,18182,3858,49.07%,No
East Coast,"TOLLEY, Anne Merrilyn ",National Party,18074,7934,52.38%,Yes
East Coast Bays,"McCULLY, Murray Stuart",National Party,19957,15034,61.92%,Yes
Epsom,"SEYMOUR, David Breen",ACT New Zealand,15966,4250,43.42%,No
Hamilton East,"BENNETT, David Allister",National Party,19393,10199,57.37%,Yes
Hamilton West,"MACINDOE, Timothy Harley",National Party,17382,5784,53.10%,Yes
Helensville,"KEY, John Phillip",National Party,22720,18287,65.57%,Yes
Hunua,"BAYLY, Andrew Henry",National Party,23621,17376,67.56%,Yes
Hutt South,"MALLARD, Trevor Colin",Labour Party,16836,709,43.80%,No
Ilam,"BROWNLEE, Gerard Anthony",National Party,19981,11898,58.08%,Yes
Invercargill,"DOWIE, Sarah Maree",National Party,17526,7482,52.09%,Yes
Kaikōura,"SMITH, Stuart Tayler",National Party,20857,12570,57.74%,Yes
Kelston,"SEPULONI, Carmel Jean",Labour Party,15091,5367,50.90%,Yes
Mana,"FAAFOI, Kristopher",Labour Party,19651,7953,54.81%,No
Māngere,"SIO, Sua William",Labour Party,18908,14933,72.49%,Yes
Manukau East,"SALESA, Jennifer Teresia",Labour Party,17676,13254,69.54%,Yes
Manurewa,"WALL, Louisa Hareruia",Labour Party,14038,6402,54.23%,Yes
Maungakiekie,"LOTU-IIGA, Peseta Samuelu Masunu",National Party,16132,2348,48.38%,Yes
Mt Albert,"SHEARER, David James",Labour Party,20970,10656,58.71%,Yes
Mt Roskill,"GOFF, Philip Bruce",Labour Party,18637,8091,56.52%,Yes
Napier,"NASH, Stuart Alexander",Labour Party,15343,3850,42.72%,No
Nelson,"SMITH, Nick",National Party,20000,7605,53.37%,Yes
New Lynn,"CUNLIFFE, David Richard",Labour Party,16534,4557,50.89%,Yes
New Plymouth,"YOUNG, Jonathan Edgar Joseph",National Party,21566,9778,58.42%,Yes
North Shore,"BARRY, Margaret Mary",National Party,23783,16503,63.15%,Yes
Northcote,"COLEMAN, Jonathan David",National Party,19696,9664,57.02%,Yes
Northland,"SABIN, Michael Lewis",National Party,18269,9300,52.74%,Yes
Ōhāriu,"DUNNE, Peter Francis ",United Future,13569,710,36.86%,Yes
Ōtaki,"GUY, Allen Nathan",National Party,20980,7782,55.39%,Yes
Pakuranga,"WILLIAMSON, Maurice Donald",National Party,20388,12867,61.03%,Yes
Palmerston North,"LEES-GALLOWAY, Iain Francis",Labour Party,16885,2212,50.08%,Yes
Papakura,"COLLINS, Judith Anne",National Party,15588,5119,46.76%,Yes
Port Hills,"DYSON, Ruth Suzanne",Labour Party,18161,2228,46.44%,No
Rangitata,"GOODHEW, Joanne Gay",National Party,23518,14107,67.24%,Yes
Rangitīkei,"McKELVIE, Ian Robert Flockhart",National Party,20487,11060,60.34%,Yes
Rimutaka,"HIPKINS, Christopher John",Labour Party,19286,6664,52.99%,Yes
Rodney,"MITCHELL, Mark Patrick",National Party,24519,20230,63.41%,Yes
Rongotai,"KING, Annette Faye",Labour Party,18840,9617,49.83%,Yes
Rotorua,"McCLAY, Todd Michael",National Party,18715,7418,56.34%,Yes
Selwyn,"ADAMS, Amy Juliet",National Party,24625,20561,69.97%,Yes
Tāmaki,"O'CONNOR, Simon",National Party,25539,20421,71.43%,Yes
Taranaki-King Country,"KURIGER, Barbara Joan",National Party,22328,16773,68.17%,Yes
Taupō,"UPSTON, Louise Claire",National Party,22448,15046,63.12%,Yes
Tauranga,"BRIDGES, Simon Joseph",National Party,20711,14842,56.88%,Yes
Te Atatū,"TWYFORD, Philip Stoner",Labour Party,15676,2813,48.73%,Yes
Tukituki,"FOSS, Craig",National Party,18537,6490,52.55%,Yes
Upper Harbour,"BENNETT, Paula Lee",National Party,18315,9692,56.54%,Yes
Waikato,"TISCH, William Lindsay ",National Party,22911,16169,65.67%,Yes
Waimakariri,"DOOCEY, Matthew Maurice ",National Party,17263,2506,48.60%,Yes
Wairarapa,"SCOTT, Alastair Oliver",National Party,16223,6771,43.90%,Yes
Waitaki,"DEAN, Jacqueline Isobel",National Party,24547,16668,62.98%,Yes
Wellington Central,"ROBERTSON, Grant Murray",Labour Party,19807,8267,52.01%,Yes
West Coast-Tasman,"O'CONNOR, Damien Peter",Labour Party,16747,4094,47.29%,Yes
Whanganui,"BORROWS, Kerry James",National Party,18649,4505,53.69%,Yes
Whangarei,"RETI, Shane Raymond",National Party,20111,13169,55.58%,Yes
Wigram,"WOODS, Megan Cherie",Labour Party,14519,3330,48.95%,Yes
Hauraki-Waikato,"MAHUTA, Nanaia Cybele",Labour Party,12191,7695,61.56%,Yes
Ikaroa-Rāwhiti,"WHAITIRI, Meka",Labour Party,9753,4673,46.27%,Yes
Tāmaki Makaurau,"HENARE, Peeni Ereatara Gladwyn",Labour Party,7533,1462,38.28%,No
Te Tai Hauāuru,"RURAWHE, Adrian Paki",Labour Party,8089,1554,41.34%,No
Te Tai Tokerau,"DAVIS, Kelvin Glen",Labour Party,9712,743,44.73%,Yes
Te Tai Tonga,"TIRIKATENE, Rino",Labour Party,8445,3554,42.92%,No
Waiariki,"FLAVELL, Te Ururoa James William Ben",Māori Party,9726,3889,45.56%,Yes
