Electorate Candidate Votes and Turnout by Electorate
,,,,,,"Electorate Candidate Votes Cast",,,,,,"Percentage of"
,,,"Valid Votes Cast",,"Informal Votes Cast"
"Electoral District","Ordinary Votes","Special Votes","Valid Total (a)+(b)","Ordinary Votes","Special Votes","Informal Total (d)+(e)","Ordinary Votes Disallowed","Special Votes Disallowed","Total Votes Cast (c)+(f)+(g)+(h)","Electors on Master Roll","Electoral Population","Votes Cast to Electors on Master Roll","Valid Votes Recorded for Candidate Elected to Total Votes Cast","Informal Votes Recorded"
,(a),(b),(c),(d),(e),(f),(g),(h),(i),(j),(k),(i/j),,(f/c+f)
"Upper Harbour",28004,4391,32395,302,36,338,24,1040,33797,45516,61519,74.25300993,54.1912004,1.03259707
"Waikato",31611,3276,34887,349,72,421,7,1013,36328,45623,61638,79.62650418,63.06705571,1.19236434
"Waimakariri",32285,3235,35520,171,21,192,7,659,36378,44488,56742,81.77036504,47.45450547,.53763441
"Wairarapa",33903,3055,36958,231,15,246,10,502,37716,46805,59167,80.58113449,43.01357514,.66121922
"Waitaki",35473,3501,38974,431,40,471,25,488,39958,48721,62488,82.01391597,61.4320036,1.19406769
"Wellington Central",30582,7498,38080,210,63,273,18,1075,39446,46626,60402,84.60086647,50.21294935,.71180872
"West Coast-Tasman",32490,2922,35412,339,34,373,1,497,36283,45093,59021,80.46259952,46.15660227,1.04233617
"Whanganui",32224,2511,34735,322,28,350,18,588,35691,46210,61155,77.23652889,52.25126783,.99757731
"Whangarei",33369,2815,36184,294,42,336,31,747,37298,47087,60522,79.21082252,53.91978122,.92004381
"Wigram",26177,3485,29662,350,51,401,24,980,31067,40693,56895,76.34482589,46.7344771,1.33386555
"General Electorate Totals",1965786,238954,2204740,21346,2919,24265,863,60282,2290150,2900476,3824424,78.9577297,,1.08860231
"Hauraki-Waikato",17063,2740,19803,626,116,742,13,1467,22025,34648,62309,63.56788271,55.3507378,3.61158433
"Ikaroa-Rāwhiti",18465,2615,21080,462,44,506,13,1290,22889,34514,58339,66.31801588,42.60998733,2.34411192
"Tāmaki Makaurau",16722,2959,19681,358,59,417,3,1300,21401,35287,57766,60.64839743,35.19928975,2.07483332
"Te Tai Hauāuru",17036,2532,19568,468,74,542,40,1308,21458,32557,60847,65.9090211,37.69689626,2.69517653
"Te Tai Tokerau",18524,3190,21714,349,69,418,46,1723,23901,34504,61498,69.27022954,40.63428308,1.88866799
"Te Tai Tonga",17305,2370,19675,491,54,545,12,946,21178,33316,61496,63.56705487,39.87628671,2.69535114
"Waiariki",18869,2477,21346,415,36,451,17,1481,23295,35115,57676,66.33917129,41.75144881,2.06909208
"Maori Electorate Totals",123984,18883,142867,3169,452,3621,144,9515,156147,239941,419931,65.07724816,,2.47187483
"Combined Totals",2089770,257837,2347607,24515,3371,27886,1007,69797,2446297,3140417,4244355,77.89720282,,1.17390369
