Percentage of Electorate Candidate Votes of Successful Registered Parties,,,,,,,,,,,,,,,,,
Electorate,ACT New Zealand,,Green Party,,Labour Party,,Maori Party,,National Party,,New Zealand First Party,,United Future,,Others,,Total Valid Votes
,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,
Upper Harbour,549,1.69,2619,8.08,8623,26.62,246,0.76,18315,56.54,0,0,0,0,2043,6.31,32395
Waikato,290,0.83,0,0,6742,19.33,0,0,22911,65.67,3330,9.55,0,0,1614,4.63,34887
Waimakariri,0,0,1506,4.24,14757,41.55,92,0.26,17263,48.6,1024,2.88,0,0,878,2.47,35520
Wairarapa,90,0.24,1566,4.24,9452,25.57,181,0.49,16223,43.9,8630,23.35,0,0,816,2.21,36958
Waitaki,0,0,4878,12.52,7879,20.22,0,0,24547,62.98,0,0,0,0,1670,4.28,38974
Wellington Central,0,0,5077,13.33,19807,52.01,0,0,11540,30.3,580,1.52,0,0,1076,2.83,38080
West Coast-Tasman,0,0,2385,6.74,16747,47.29,0,0,12653,35.73,0,0,0,0,3627,10.24,35412
Whanganui,252,0.73,0,0,14144,40.72,610,1.76,18649,53.69,0,0,0,0,1080,3.11,34735
Whangarei,285,0.79,3163,8.74,6942,19.19,300,0.83,20111,55.58,2944,8.14,0,0,2439,6.74,36184
Wigram,318,1.07,2324,7.83,14519,48.95,122,0.41,11189,37.72,0,0,0,0,1190,4.01,29662
General Electorate Totals,27778,1.26,154291,7,739727,33.55,3962,0.18,1081787,49.07,73384,3.33,14722,0.67,109089,4.95,2204740
Hauraki-Waikato,0,0,0,0,12191,61.56,4496,22.7,0,0,0,0,0,0,3116,15.73,19803
Ikaroa-Rāwhiti,0,0,2114,10.03,9753,46.27,3848,18.25,0,0,0,0,0,0,5365,25.45,21080
Tāmaki Makaurau,0,0,3136,15.93,7533,38.28,6071,30.85,0,0,0,0,0,0,2941,14.94,19681
Te Tai Hauāuru,0,0,3004,15.35,8089,41.34,6535,33.4,0,0,0,0,0,0,1940,9.91,19568
Te Tai Tokerau,0,0,0,0,9712,44.73,2579,11.88,0,0,0,0,0,0,9423,43.4,21714
Te Tai Tonga,0,0,3173,16.13,8445,42.92,4891,24.86,0,0,0,0,0,0,3166,16.09,19675
Waiariki,0,0,0,0,5837,27.34,9726,45.56,0,0,0,0,0,0,5783,27.09,21346
Maori Electorate Totals,0,0,11427,8,61560,43.09,38146,26.7,0,0,0,0,0,0,31734,22.21,142867
Combined Totals,27778,1.18,165718,7.06,801287,34.13,42108,1.79,1081787,46.08,73384,3.13,14722,0.63,140823,6,2347607
