Summary of Overall Results,,,,,,,,,,
,,,,Number of Names on Party List,,,,Number Nominated,,
,,,,548,,,,601,,
,,Party List,,,,Electorate Candidates,,,,
Parties(Grouped),Seats Allocated,Party Vote (n),Party Vote (%),No. on Party List,Seats Won,Electorate Vote (n),Electorate Vote (%),No. Nominated,Registered,Successful
ACT New Zealand,0,16689,0.69,41,1,27778,1.18,39,Yes,Yes
Aotearoa Legalise Cannabis Party,0,10961,0.46,13,0,4936,0.21,10,Yes,No
Ban1080,0,5113,0.21,9,0,4448,0.19,5,Yes,No
Conservative,0,95598,3.97,20,0,81075,3.45,64,Yes,No
Democrats for Social Credit,0,1730,0.07,35,0,4647,0.2,30,Yes,No
Focus New Zealand,0,639,0.03,8,0,1797,0.08,2,Yes,No
Green Party,14,257359,10.7,59,0,165718,7.06,57,Yes,Yes
Internet MANA,0,34094,1.42,32,0,0,0,0,Yes,No
Labour Party,5,604535,25.13,64,27,801287,34.13,71,Yes,Yes
Maori Party,1,31849,1.32,24,1,42108,1.79,24,Yes,Yes
National Party,19,1131501,47.04,75,41,1081787,46.08,64,Yes,Yes
New Zealand First Party,11,208300,8.66,31,0,73384,3.13,31,Yes,Yes
NZ Independent Coalition,0,872,0.04,10,0,1929,0.08,4,Yes,No
The Civilian Party,0,1096,0.05,8,0,0,0,0,Yes,No
United Future,0,5286,0.22,11,1,14722,0.63,11,Yes,Yes
Alliance,0,0,0,0,0,59,0,1,Yes,No
Internet Party,0,0,0,0,0,4848,0.21,15,Yes,No
MANA Movement,0,0,0,0,0,32333,1.38,18,Yes,No
Climate Party,0,0,0,0,0,116,0,2,No,No
Communist League,0,0,0,0,0,135,0.01,2,No,No
Human Rights Party,0,0,0,0,0,76,0,1,No,No
Money Free Party,0,0,0,0,0,391,0.02,5,No,No
NZ Economic Euthenics Party,0,0,0,0,0,51,0,1,No,No
Patriotic Revolutionary Front,0,0,0,0,0,48,0,1,No,No
The Expats,0,0,0,0,0,70,0,1,No,No
Independent,0,0,0,0,0,3864,0.16,24,No,No
