Party Votes and Turnout by Electorate
,,,,,,"Party Votes Cast",,,,,,"Percentage of"
,,,"Valid Votes Cast",,"Informal Votes Cast"
"Electoral District","Ordinary Votes","Special Votes","Valid Total (a)+(b)","Ordinary Votes","Special Votes","Informal Total (d)+(e)","Ordinary Votes Disallowed","Special Votes Disallowed","Total Votes Cast (c)+(f)+(g)+(h)","Electors on Master Roll","Electoral Population","Votes Cast to Electors on Master Roll","Informal Votes Recorded"
,(a),(b),(c),(d),(e),(f),(g),(h),(i),(j),(k),(i/j),(f/c+f)
"Auckland Central",27206,7000,34206,133,31,164,0,391,34761,45649,57872,76.14843699,.47716031
"Bay of Plenty",33104,3073,36177,205,21,226,13,206,36622,47356,56358,77.33338964,.62082795
"Botany",26075,2959,29034,219,19,238,1,294,29567,44105,54408,67.03775082,.81306368
"Christchurch Central",23560,4464,28024,215,22,237,1,232,28494,39419,58309,72.28493874,.83861151
"Christchurch East",25659,3090,28749,211,17,228,0,186,29163,39708,55804,73.44363856,.78683093
"Clutha-Southland",29169,2662,31831,194,15,209,0,136,32176,43395,58166,74.1467911,.65230961
"Coromandel",31717,2847,34564,269,17,286,4,152,35006,45697,56524,76.60459111,.82065997
"Dunedin North",25693,4272,29965,179,11,190,4,133,30292,40356,56830,75.06194866,.63007793
"Dunedin South",32622,2629,35251,295,23,318,10,113,35692,45818,57012,77.89951547,.89403694
"East Coast",27461,2282,29743,218,15,233,0,288,30264,40975,55045,73.85967053,.7772885
"East Coast Bays",30390,3145,33535,153,7,160,0,193,33888,47305,57391,71.63724765,.4748479
"Epsom",31296,5473,36769,145,15,160,0,256,37185,48761,59103,76.25971576,.43326383
"Hamilton East",29476,3773,33249,278,39,317,2,256,33824,45420,55839,74.46939674,.94440803
"Hamilton West",28703,3346,32049,255,31,286,8,249,32592,44793,57867,72.76136896,.88449049
"Helensville",31678,4131,35809,178,20,198,26,233,36266,47879,59610,75.74510746,.54989308
"Hunua",31851,3560,35411,193,11,204,8,262,35885,47215,54671,76.00338875,.57279236
"Hutt South",29613,3301,32914,237,29,266,1,369,33550,43215,56623,77.63508041,.80168776
"Ilam",29972,4197,34169,174,22,196,11,175,34551,45258,59869,76.34230412,.57034774
"Invercargill",30055,2300,32355,302,22,324,14,118,32811,45014,57411,72.89065624,.99146241
"Kaikōura",31351,2777,34128,271,13,284,2,161,34575,44958,56593,76.90511144,.8252935
"Mana",30732,3693,34425,327,48,375,21,470,35291,44393,56603,79.49676751,1.07758621
"Māngere",21532,3475,25007,444,74,518,2,1001,26528,39534,54673,67.10173522,2.02938296
"Manukau East",23039,3921,26960,430,94,524,0,934,28418,41901,58586,67.82177036,1.90656382
"Manurewa",21504,3773,25277,351,60,411,24,745,26457,39461,54662,67.0459441,1.59996886
"Maungakiekie",28989,4842,33831,248,35,283,1,581,34696,46637,59098,74.39586594,.82957144
"Mt Albert",28053,4946,32999,233,39,272,0,481,33752,45208,58944,74.65935233,.81752878
"Mt Roskill",28417,3913,32330,356,33,389,0,530,33249,46332,58833,71.76249676,1.18891164
"Napier",31340,2567,33907,297,24,321,1,239,34468,44266,55990,77.86563051,.93782868
"Nelson",32326,2941,35267,238,12,250,18,161,35696,46817,56088,76.24580815,.70388828
"New Lynn",29693,3992,33685,268,27,295,2,363,34345,46139,58652,74.43811093,.86815774
"New Plymouth",31362,2570,33932,225,10,235,5,162,34334,45354,54995,75.70225338,.68779817
"North Shore",33064,4117,37181,162,12,174,12,176,37543,48963,59346,76.67626575,.4658011
"Northcote",29406,3624,33030,154,19,173,19,232,33454,45675,58128,73.24356869,.52103726
"Northland",29805,2860,32665,286,22,308,1,271,33245,44182,59434,75.24557512,.9340976
"Ōhariu",33530,4298,37828,127,10,137,6,161,38132,46740,57419,81.58322636,.36085869
"Ōtaki",34862,2771,37633,274,18,292,7,166,38098,47483,57456,80.23503148,.76994067
"Pakuranga",29686,2909,32595,191,11,202,4,194,32995,45912,57283,71.86574316,.61590999
"Palmerston North",29705,3333,33038,215,15,230,1,265,33534,43524,58124,77.0471464,.69135506
"Papakura",28046,3575,31621,219,31,250,23,408,32302,44164,56289,73.14101984,.78441216
"Port Hills",29011,4271,33282,183,19,202,2,192,33678,43511,55568,77.40111696,.60327321
"Rangitata",33674,2257,35931,337,14,351,8,114,36404,48024,60388,75.80376478,.96742186
"Rangitīkei",28739,2992,31731,339,24,363,7,207,32308,41343,56081,78.14623999,1.13105253
"Rimutaka",31258,3075,34333,219,21,240,5,292,34870,44403,56757,78.53072991,.69418332
"Rodney",35087,3476,38563,241,16,257,0,177,38997,49407,58005,78.93011112,.66202988
"Rongotai",31645,5234,36879,271,31,302,4,411,37596,46153,57950,81.45949342,.81224281
"Rotorua",28761,2756,31517,283,24,307,2,271,32097,42886,58827,74.84260598,.96468074
"Selwyn",32987,3864,36851,183,9,192,0,125,37168,46937,54760,79.18699533,.51831655
"Tāmaki",33314,4468,37782,222,33,255,22,307,38366,49080,58315,78.17033415,.67039987
"Taranaki-King Country",28289,2749,31038,241,10,251,2,170,31461,41533,55389,75.74940409,.80219886
"Taupō",30703,3044,33747,220,19,239,0,218,34204,45800,59656,74.68122271,.70323074
"Tauranga",33126,3494,36620,267,16,283,4,243,37150,48133,57432,77.18197494,.76687532
"Te Atatū",26965,3870,30835,308,48,356,0,477,31668,43746,56922,72.39061857,1.14135488
"Tukituki",31263,2835,34098,203,22,225,0,318,34641,44708,57928,77.48277713,.6555371
"Waikato",28187,3280,31467,279,19,298,3,202,31970,42084,54640,75.96711339,.93813946
"Waimakariri",32891,3125,36016,277,20,297,0,203,36516,47387,57504,77.05910904,.81788891
"Wairarapa",32527,2494,35021,276,18,294,4,154,35473,46425,57949,76.40926225,.83250743
"Waitakere",27277,3845,31122,274,26,300,12,423,31857,43143,54887,73.84048397,.95474508
"Waitaki",35317,3224,38541,318,20,338,4,117,39000,49580,60135,78.6607503,.86936392
"Wellington Central",31285,8087,39372,132,21,153,0,291,39816,48316,58799,82.40748406,.38709677
"West Coast-Tasman",31034,2732,33766,275,13,288,2,170,34226,44556,56309,76.81569261,.84571563
"Whanganui",29699,2159,31858,223,12,235,2,164,32259,43673,58213,73.8648593,.73224691
"Whangarei",31889,2623,34512,273,14,287,0,196,34995,46511,58499,75.24026574,.82473634
"Wigram",28236,3994,32230,278,27,305,0,299,32834,45427,60047,72.27860083,.93745197
"General Electorate Totals",1884906,223349,2108255,15491,1490,16981,335,17684,2143255,2837747,3612868,75.52664138,.79901714
