Actual Quotuents for Party List Seat Allocation,,,,,,,,,,,,,,,,
Party Quotients,,,,,,,,,,,,,,,,
Divisor,National Party,Seat No.,Labour Party,Seat No.,Green Party,Seat No.,New Zealand First Party,Seat No.,Maori Party,Seat No.,Mana,Seat No.,ACT New Zealand,Seat No.,United Future,Seat No.
99,10693.29293,102,6211.48485,0,2498.70707,0,1490.34343,0,323.05051,0,244.12121,0,241.30303,0,135.78788,0
101,10481.54455,104,6088.48515,0,2449.22772,0,1460.83168,0,316.65347,0,239.28713,0,236.52475,0,133.09901,0
103,10278.01942,106,5970.26214,0,2401.6699,0,1432.46602,0,310.50485,0,234.64078,0,231.93204,0,130.51456,0
105,10082.24762,107,5856.54286,0,2355.92381,0,1405.18095,0,304.59048,0,230.17143,0,227.51429,0,128.02857,0
107,9893.79439,110,5747.07477,0,2311.88785,0,1378.91589,0,298.8972,0,225.86916,0,223.26168,0,125.63551,0
109,9712.25688,113,5641.62385,0,2269.46789,0,1353.61468,0,293.41284,0,221.72477,0,219.16514,0,123.33028,0
111,9537.26126,114,5539.97297,0,2228.57658,0,1329.22523,0,288.12613,0,217.72973,0,215.21622,0,121.10811,0
113,9368.46018,116,5441.92035,0,2189.13274,0,1305.69912,0,283.02655,0,213.87611,0,211.40708,0,118.9646,0
115,9205.53043,117,5347.27826,0,2151.06087,0,1282.9913,0,278.10435,0,210.15652,0,207.73043,0,116.89565,0
117,9048.17094,120,5255.87179,0,2114.2906,0,1261.05983,0,273.35043,0,206.5641,0,204.17949,0,114.89744,0
Number of Party Votes,1058636,,614937,,247372,,147544,,31982,,24168,,23889,,13443,
Percentage,48.97,,28.44,,11.44,,6.82,,1.48,,1.12,,1.10,,0.62,
Electorate Seats,42,,22,,0,,0,,3,,1,,1,,1,
List Seats,17,,12,,14,,8,,0,,0,,0,,0,
Total seats,59,,34,,14,,8,,3,,1,,1,,1,
