Summary of Overall Results,,,,,,,,,,
,,,,Number of Names on Party List,,,,Number Nominated,,
,,,,548,,,,601,,
,,Party List,,,,Electorate Candidates,,,,
Parties(Grouped),Seats Allocated,Party Vote (n),Party Vote (%),No. on Party List,Seats Won,Electorate Vote (n),Electorate Vote (%),No. Nominated,Registered,Successful
ACT New Zealand,0,23889,1.07,55,1,31001,1.43,50,Yes,Yes
Alliance,0,1209,0.05,14,0,1245,0.06,5,Yes,No
Aotearoa Legalise Cannabis Party,0,11738,0.52,28,0,6384,0.29,17,Yes,No
Conservative Party,0,59237,2.65,30,0,51678,2.38,52,Yes,No
Democrats for Social Credit,0,1714,0.08,24,0,2255,0.1,14,Yes,No
Green Party,14,247372,11.06,61,0,155492,7.16,59,Yes,Yes
Labour Party,12,614937,27.48,70,22,762897,35.12,70,Yes,Yes
Libertarianz,0,1595,0.07,27,0,1459,0.07,9,Yes,No
Mana,0,24168,1.08,20,1,29872,1.38,21,Yes,Yes
Maori Party,0,31982,1.43,17,3,39320,1.81,11,Yes,Yes
National Party,17,1058636,47.31,75,42,1027696,47.31,63,Yes,Yes
New Zealand First Party,8,147544,6.59,33,0,39892,1.84,32,Yes,Yes
United Future,0,13443,0.6,17,1,18792,0.87,20,Yes,Yes
Aotearoa NZ Youth Party,0,0,0,0,0,52,0,1,No,No
Communist League,0,0,0,0,0,95,0,2,No,No
Human Rights Party,0,0,0,0,0,68,0,1,No,No
New Economics Party,0,0,0,0,0,44,0,1,No,No
New Zealand Sovereignty Party,0,0,0,0,0,248,0.01,2,No,No
Nga Iwi,0,0,0,0,0,416,0.02,2,No,No
NZ Economic Euthenics Party,0,0,0,0,0,53,0,1,No,No
Pirate Party of New Zealand,0,0,0,0,0,414,0.02,2,No,No
Restore All Things in Christ,0,0,0,0,0,167,0.01,1,No,No
Independent,0,0,0,0,0,2894,0.13,17,No,No
