Electorate Candidate Votes and Turnout by Electorate
,,,,,,"Electorate Candidate Votes Cast",,,,,,"Percentage of"
,,,"Valid Votes Cast",,"Informal Votes Cast"
"Electoral District","Ordinary Votes","Special Votes","Valid Total (a)+(b)","Ordinary Votes","Special Votes","Informal Total (d)+(e)","Ordinary Votes Disallowed","Special Votes Disallowed","Total Votes Cast (c)+(f)+(g)+(h)","Electors on Master Roll","Electoral Population","Votes Cast to Electors on Master Roll","Valid Votes Recorded for Candidate Elected to Total Votes Cast","Informal Votes Recorded"
,(a),(b),(c),(d),(e),(f),(g),(h),(i),(j),(k),(i/j),,(f/c+f)
"Auckland Central",27040,6089,33129,299,53,352,0,1280,34761,45649,57872,76.14843699,43.26112597,1.05134255
"Bay of Plenty",32490,2644,35134,819,60,879,13,596,36622,47356,56358,77.33338964,64.74250451,2.44078527
"Botany",25331,2439,27770,963,106,1069,1,727,29567,44105,54408,67.03775082,60.13460953,3.70678595
"Christchurch Central",23330,3759,27089,445,87,532,1,872,28494,39419,58309,72.28493874,42.33873798,1.92607074
"Christchurch East",25407,2608,28015,463,46,509,0,639,29163,39708,55804,73.44363856,53.35184995,1.78446221
"Clutha-Southland",28597,2459,31056,766,44,810,0,310,32176,43395,58166,74.1467911,66.43150174,2.54189418
"Coromandel",31184,2552,33736,802,41,843,4,423,35006,45697,56524,76.60459111,53.05090556,2.43789583
"Dunedin North",25485,3838,29323,387,61,448,4,517,30292,40356,56830,75.06194866,42.83639245,1.50482013
"Dunedin South",32124,2327,34451,793,37,830,10,401,35692,45818,57012,77.89951547,47.19264821,2.35254103
"East Coast",27096,1912,29008,583,33,616,0,640,30264,40975,55045,73.85967053,46.26949511,2.07939509
"East Coast Bays",29709,2751,32460,834,68,902,0,526,33888,47305,57391,71.63724765,62.24622285,2.70367484
"Epsom",31080,4831,35911,361,82,443,0,831,37185,48761,59103,76.25971576,42.58437542,1.21857292
"Hamilton East",29196,3206,32402,558,78,636,2,784,33824,45420,55839,74.46939674,54.7096736,1.925056
"Hamilton West",28340,2803,31143,618,62,680,8,761,32592,44793,57867,72.76136896,50.89285714,2.13681928
"Helensville",31328,3643,34971,528,46,574,26,695,36266,47879,59610,75.74510746,71.72282579,1.61485441
"Hunua",31399,2999,34398,645,54,699,8,780,35885,47215,54671,76.00338875,62.87585342,1.99162322
"Hutt South",29165,2888,32053,685,43,728,1,768,33550,43215,56623,77.63508041,47.17734724,2.22079863
"Ilam",29536,3690,33226,610,57,667,11,647,34551,45258,59869,76.34230412,58.08804376,1.96795799
"Invercargill",29547,2103,31650,810,53,863,14,284,32811,45014,57411,72.89065624,52.65002591,2.65432289
"Kaikōura",30638,2494,33132,984,61,1045,2,396,34575,44958,56593,76.90511144,57.73246565,3.05761184
"Mana",30374,3208,33582,685,55,740,21,948,35291,44393,56603,79.49676751,46.25258565,2.15605151
"Māngere",21217,2732,23949,759,97,856,2,1721,26528,39534,54673,67.10173522,68.52005428,3.45091715
"Manukau East",22258,2898,25156,1211,160,1371,0,1891,28418,41901,58586,67.82177036,68.2630727,5.16831907
"Manurewa",20888,2758,23646,967,141,1108,24,1679,26457,39461,54662,67.0459441,56.54836149,4.47604428
"Maungakiekie",28445,4014,32459,792,98,890,1,1346,34696,46637,59098,74.39586594,46.6595573,2.66874569
"Mt Albert",27402,4220,31622,884,85,969,0,1161,33752,45208,58944,74.65935233,55.4515288,2.97321346
"Mt Roskill",28067,3266,31333,706,60,766,0,1150,33249,46332,58833,71.76249676,53.85425126,2.38636718
"Napier",30990,2278,33268,647,31,678,1,521,34468,44266,55990,77.86563051,50.2988279,1.99728981
"Nelson",31925,2628,34553,639,53,692,18,433,35696,46817,56088,76.24580815,51.43433438,1.96339906
"New Lynn",29195,3405,32600,766,78,844,2,899,34345,46139,58652,74.43811093,49.49483185,2.52362158
"New Plymouth",30833,2262,33095,754,54,808,5,426,34334,45354,54995,75.70225338,51.38929341,2.38326992
"North Shore",32680,3690,36370,546,46,592,12,569,37543,48963,59346,76.67626575,60.48797379,1.60164493
"Northcote",29134,3210,32344,426,54,480,19,611,33454,45675,58128,73.24356869,56.51939977,1.46234463
"Northland",29168,2436,31604,923,49,972,1,668,33245,44182,59434,75.24557512,54.70897879,2.98379175
"Ōhariu",33317,3898,37215,340,29,369,6,542,38132,46740,57419,81.58322636,37.65079199,.98180077
"Ōtaki",34592,2546,37138,544,29,573,7,380,38098,47483,57456,80.23503148,50.26773059,1.51945056
"Pakuranga",28895,2527,31422,982,59,1041,4,528,32995,45912,57283,71.86574316,62.71859373,3.20672766
"Palmerston North",29309,2892,32201,611,56,667,1,665,33534,43524,58124,77.0471464,49.27834437,2.02932944
"Papakura",27526,2844,30370,739,75,814,23,1095,32302,44164,56289,73.14101984,56.02129899,2.61031298
"Port Hills",28715,3790,32505,479,63,542,2,629,33678,43511,55568,77.40111696,46.72783419,1.64008836
"Rangitata",33087,2023,35110,924,46,970,8,316,36404,48024,60388,75.80376478,53.78529832,2.68847007
"Rangitīkei",28420,2638,31058,658,37,695,7,548,32308,41343,56081,78.14623999,56.59279435,2.18876957
"Rimutaka",30652,2635,33287,825,54,879,5,699,34870,44403,56757,78.53072991,49.24290221,2.57273313
"Rodney",34762,3066,37828,566,49,615,0,554,38997,49407,58005,78.93011112,51.93476421,1.59977109
"Rongotai",31374,4610,35984,542,75,617,4,991,37596,46153,57950,81.45949342,48.35354825,1.68574629
"Rotorua",28266,2332,30598,778,57,835,2,662,32097,42886,58827,74.84260598,53.55017603,2.65644386
"Selwyn",32685,3418,36103,485,41,526,0,539,37168,46937,54760,79.18699533,67.162613,1.43602064
"Tāmaki",32868,3835,36703,668,87,755,22,886,38366,49080,58315,78.17033415,64.73700672,2.0155908
"Taranaki-King Country",27559,2366,29925,971,75,1046,2,488,31461,41533,55389,75.74940409,66.24709958,3.37735301
"Taupō",30260,2629,32889,663,58,721,0,594,34204,45800,59656,74.68122271,61.20336803,2.14519488
"Tauranga",32736,3050,35786,657,42,699,4,661,37150,48133,57432,77.18197494,59.14131898,1.91585583
"Te Atatū",26306,3156,29462,967,100,1067,0,1139,31668,43746,56922,72.39061857,50.08210181,3.49503751
"Tukituki",30737,2434,33171,729,58,787,0,683,34641,44708,57928,77.48277713,55.93949366,2.31756876
"Waikato",27742,2791,30533,724,51,775,3,659,31970,42084,54640,75.96711339,61.9862371,2.47540565
"Waimakariri",32719,2783,35502,449,41,490,0,524,36516,47387,57504,77.05910904,45.97162888,1.36141365
"Wairarapa",31735,2228,33963,1068,48,1116,4,390,35473,46425,57949,76.40926225,50.40735207,3.18139058
"Waitakere",26953,3142,30095,598,54,652,12,1098,31857,43143,54887,73.84048397,42.26700568,2.12053208
"Waitaki",34812,2974,37786,823,60,883,4,327,39000,49580,60135,78.6607503,59.53589744,2.28348289
