Votes for Registered Parties by Electorate,,,,,,,,,,,,,,,
,ACT NEW ZEALAND,ALLIANCE,AOTEAROA LEGALISE CANNABIS PARTY,CONSERVATIVE PARTY,DEMOCRATS FOR SOCIAL CREDIT,GREEN PARTY,LABOUR PARTY,LIBERTARIANZ,MANA,MĀORI PARTY,NATIONAL PARTY,NEW ZEALAND FIRST PARTY,UNITED FUTURE,Total Valid Party Votes,Informal Party Votes
Electorate,ACT New Zealand,Alliance,Aotearoa Legalise Cannabis Party,Conservative Party,Democrats For Social Credit,Green Party,Labour Party,Libertarianz,Mana,Maori Party,National Party,New Zealand First Party,United Future,Total Valid Party Votes,Informal Party Votes
Whangarei,596,14,184,1457,84,3673,7017,31,238,212,17486,3340,180,34512,287
Wigram,202,158,186,763,16,4243,9866,33,66,141,14357,1948,251,32230,305
General Electorate Totals,23659,1188,10161,58648,1685,234031,562012,1561,7345,11810,1047551,135325,13279,2108255,16981
Hauraki-Waikato,37,2,258,76,2,1634,8250,8,2007,2337,1491,1758,33,17893,436
Ikaroa-Rāwhiti,36,2,267,73,2,1710,9054,7,1754,2736,1091,1516,14,18262,470
Tāmaki Makaurau,28,2,197,94,2,1810,7739,4,2551,2694,1569,1948,10,18648,327
Te Tai Hauāuru,23,1,195,67,4,2031,7645,3,1499,3829,1421,1445,25,18188,452
Te Tai Tokerau,46,5,229,102,2,1704,6855,6,4844,2208,1814,1950,17,19782,473
Te Tai Tonga,32,7,230,120,16,2789,6791,4,1043,2379,2631,1544,43,17629,268
Waiariki,28,2,201,57,1,1663,6591,2,3125,3989,1068,2058,22,18807,465
Maori Electorate Totals,230,21,1577,589,29,13341,52925,34,16823,20172,11085,12219,164,129209,2891
Combined Totals,23889,1209,11738,59237,1714,247372,614937,1595,24168,31982,1058636,147544,13443,2237464,19872
