Winning Electorate Candidate Votes,,,,,,
Electoral District,Electorate Candidate,Party,Valid Votes,Majority,Percentage of Elected Candidate Votes cast in Electorate,On the Party List
Auckland Central,"KAYE, Nicola Laura",National Party,14677,1497,42.91%,yes
Bay of Plenty,"RYALL, Anthony Boyd Williams",National Party,23402,17604,64.88%,yes
Botany,"WONG, Pansy",National Party,17382,10872,56.22%,yes
Christchurch Central,"BURNS, Brendon",Labour Party,14078,935,43.83%,yes
Christchurch East,"DALZIEL, Lianne Audrey",Labour Party,17969,5765,52.92%,yes
Clutha-Southland,"ENGLISH, Simon William",National Party,22631,15475,67.87%,yes
Coromandel,"GOUDIE, Sandra Anne",National Party,22653,14560,63.05%,yes
Dunedin North,"HODGSON, Peter Colin ",Labour Party,17127,7155,52.62%,yes
Dunedin South,"CURRAN, Clare Elizabeth",Labour Party,19199,6449,52.29%,yes
East Coast,"TOLLEY, Anne Merrilyn",National Party,16463,6413,52.46%,yes
East Coast Bays,"McCULLY, Murray Stuart",National Party,20151,13974,58.09%,yes
Epsom,"HIDE, Rodney Philip",ACT New Zealand,21102,12882,56.06%,yes
Hamilton East,"BENNETT, David ",National Party,19441,8820,58.58%,yes
Hamilton West,"MACINDOE, Timothy Harley",National Party,16163,1618,48.79%,yes
Helensville,"KEY, John Phillip",National Party,26771,20547,73.61%,yes
Hunua,"HUTCHISON, Charles Paul Telford",National Party,21920,15858,64.41%,yes
Hutt South,"MALLARD, Trevor Colin",Labour Party,16690,4086,49.28%,yes
Ilam,"BROWNLEE, Gerard Anthony",National Party,20648,11893,56.89%,yes
Invercargill,"ROY, Eric Wilbur",National Party,19414,6664,55.97%,yes
Kaikoura,"KING, Colin McDonald",National Party,20374,11077,57.77%,yes
Mana,"LABAN, Winifred Alexandra",Labour Party,18070,6155,53.06%,yes
Mangere,"SIO, Su'a Viliamu",Labour Party,12651,7126,52.40%,yes
Manukau East,"ROBERTSON, Harold Valentine Ross",Labour Party,17254,12445,66.08%,no
Manurewa,"HAWKINS, George Warren",Labour Party,13511,6726,53.96%,no
Maungakiekie,"LOTU-IIGA, Peseta Samuela Masunu",National Party,15491,1942,45.55%,yes
Mt Albert,"CLARK, Helen Elizabeth",Labour Party,20157,10351,59.29%,yes
Mt Roskill,"GOFF, Philip Bruce",Labour Party,18615,6418,55.80%,yes
Napier,"TREMAIN, Christopher James",National Party,20898,9018,59.70%,yes
Nelson,"SMITH, Nicolas Rex",National Party,20471,8471,57.13%,yes
New Lynn,"CUNLIFFE, David Richard",Labour Party,17331,4025,50.35%,yes
New Plymouth,"YOUNG, Jonathan Edgar Joseph",National Party,16539,105,48.18%,yes
North Shore,"MAPP, Wayne Daniel",National Party,23824,14574,61.85%,yes
Northcote,"COLEMAN, Jonathan David",National Party,20132,9360,57.87%,yes
Northland,"CARTER, John McGregor",National Party,19889,10054,59.14%,yes
Ohariu,"DUNNE, Peter Francis",United Future,12303,1006,32.61%,yes
Otaki,"GUY, Allen Nathan",National Party,18885,1354,48.67%,yes
Pakuranga,"WILLIAMSON, Maurice Donald",National Party,21430,13906,61.58%,yes
Palmerston North,"LEES-GALLOWAY, Iain Francis",Labour Party,15977,1117,46.82%,yes
Papakura,"COLLINS, Judith Anne",National Party,18816,10277,59.68%,yes
Port Hills,"DYSON, Ruth Suzanne",Labour Party,16834,3452,46.72%,yes
Rangitata,"GOODHEW, Joanne Gay",National Party,21759,8112,57.86%,yes
Rangitikei,"POWER, Simon James",National Party,21801,12042,65.70%,yes
Rimutaka,"HIPKINS, Christopher John",Labour Party,13735,753,39.27%,yes
Rodney,"SMITH, Alexander Lockwood",National Party,22698,15635,60.41%,yes
Rongotai,"KING, Annette Faye",Labour Party,19614,9020,52.45%,yes
Rotorua,"McCLAY, Todd Michael",National Party,17700,5065,53.91%,yes
Selwyn,"ADAMS, Amy Juliet",National Party,21836,11075,60.49%,yes
Tamaki,"PEACHEY, Allan Frederick",National Party,24863,17020,65.74%,yes
Taranaki-King Country,"ARDERN, Philip Shane",National Party,21834,15618,68.67%,yes
Taupo,"UPSTON, Louise Claire",National Party,20211,6445,57.91%,yes
Tauranga,"BRIDGES, Simon Joseph",National Party,21051,11742,56.81%,yes
Te Atatu,"CARTER, Chris Joseph",Labour Party,16459,5298,53.44%,yes
Tukituki,"FOSS, Craig Raymond Robert",National Party,20103,7811,57.18%,yes
Waikato,"TISCH, William Lindsay",National Party,20122,12850,63.44%,yes
Waimakariri,"COSGROVE, Clayton James",Labour Party,16360,390,44.09%,yes
Wairarapa,"HAYES, John Bernard",National Party,18524,6758,51.02%,yes
Waitakere,"BENNETT, Paula Lee",National Party,13704,632,44.90%,yes
Waitaki,"DEAN, Jacqueline Isobel",National Party,23649,11039,60.13%,yes
Wellington Central,"ROBERTSON, Grant Murray",Labour Party,17046,1904,42.18%,yes
West Coast-Tasman,"AUCHINVOLE, Christopher John",National Party,15844,971,46.51%,yes
Whanganui,"BORROWS, Kerry James",National Party,19072,6333,56.30%,yes
Whangarei,"HEATLEY, Philip Reeve",National Party,23056,14663,64.16%,yes
Wigram,"ANDERTON, James Patrick",Jim Anderton's Progressive,15320,4767,44.50%,yes
Hauraki-Waikato,"MAHUTA, Nanaia Cybele",Labour Party,9349,888,52.49%,yes
Ikaroa-Rawhiti,"HOROMIA, Parekura Tureia",Labour Party,9927,1645,51.49%,yes
Tamaki Makaurau,"SHARPLES, Pita Russell",Maori Party,12876,7540,65.98%,yes
Te Tai Hauauru,"TURIA, Tariana",Maori Party,13406,7817,70.58%,yes
Te Tai Tokerau,"HARAWIRA, Hone Pani Tamati Waka Nene",Maori Party,12019,6308,61.95%,yes
Te Tai Tonga,"KATENE, Rahui Reid",Maori Party,9011,1049,47.30%,yes
Waiariki,"FLAVELL, Te Ururoa James William Ben",Maori Party,12781,6812,68.17%,yes
