Votes for Registered Parties by Electorate,,,,,,,,,,,,,,,,,,,,,
,ACT NEW ZEALAND,ALLIANCE,AOTEAROA LEGALISE CANNABIS PARTY,DEMOCRATS FOR SOCIAL CREDIT,FAMILY PARTY,GREEN PARTY,JIM ANDERTON'S PROGRESSIVE,KIWI PARTY,LABOUR PARTY,LIBERTARIANZ,MAORI PARTY,NATIONAL PARTY,NEW ZEALAND FIRST PARTY,NEW ZEALAND PACIFIC PARTY,RAM - RESIDENTS ACTION MOVEMENT,THE BILL AND BEN PARTY,THE REPUBLIC OF NEW ZEALAND PART,UNITED FUTURE,WORKERS PARTY,Total Valid Party Votes,Informal Party Votes
Electorate,ACT New Zealand,Alliance,Aotearoa Legalise Cannabis Party,Democrats For Social Credit,Family Party,Green Party,Jim Anderton's Progressive,Kiwi Party,Labour Party,Libertarianz,Maori Party,National Party,New Zealand First Party,New Zealand Pacific Party,RAM - Residents Action Movement,The Bill And Ben Party,The Republic Of New Zealand Part,United Future,Workers Party,Total Valid Party Votes,Informal Party Votes
Taupo,1245,20,119,23,61,1599,236,133,10359,13,325,19001,1824,22,0,199,3,284,6,35472,201
Tauranga,1086,15,140,27,81,1721,178,897,8504,21,215,20418,3804,9,2,179,26,257,14,37594,147
Te Atatu,1002,27,111,8,134,1270,267,123,13171,8,264,13183,1328,362,6,180,4,278,12,31738,174
Tukituki,1552,32,127,22,63,2146,309,135,11457,10,310,17904,1129,37,5,187,4,196,14,35639,134
Waikato,2088,25,123,40,87,1271,188,171,7280,15,235,18532,1708,4,3,195,1,285,8,32259,107
Waimakariri,953,40,123,33,61,2036,397,397,12702,7,140,18539,1482,5,3,228,4,342,9,37501,114
Wairarapa,1660,47,122,9,80,2109,251,173,11464,61,266,17860,2040,12,5,281,2,248,14,36704,131
Waitakere,1067,42,166,7,136,2032,225,106,12498,14,241,12952,1117,398,10,168,5,224,15,31423,149
Waitaki,1432,53,173,44,87,2787,382,180,11960,15,199,20426,1447,14,1,263,5,280,15,39763,185
Wellington Central,1628,20,108,4,38,8494,272,84,14244,48,351,14589,629,8,13,215,5,412,38,41200,86
West Coast-Tasman,744,29,206,37,122,3740,292,349,11532,20,216,15187,1313,10,5,243,3,398,14,34460,223
Whanganui,1052,28,116,73,91,1809,253,186,12170,18,342,15869,1761,10,2,249,3,224,16,34272,162
Whangarei,1385,17,169,66,128,2187,531,167,10433,18,333,18252,2246,12,25,231,3,260,13,36476,240
Wigram,653,68,151,13,83,2436,2010,322,14108,22,198,13308,1050,51,1,251,5,355,17,35102,291
General Electorate Totals,84835,1871,8004,1189,7193,152212,20867,12489,727708,1149,16097,1043119,86926,8564,434,12380,302,20308,865,2206512,9803
Hauraki-Waikato,113,2,236,2,138,603,41,33,9819,7,5172,1347,1022,5,3,98,4,33,6,18684,358
Ikaroa-Rawhiti,47,3,196,3,77,625,35,25,11328,4,5326,962,1064,7,0,68,2,17,16,19805,284
Tamaki Makaurau,137,5,230,0,284,819,38,28,10084,2,5801,1504,1193,36,10,71,0,27,10,20279,247
Te Tai Hauauru,79,3,242,5,95,697,36,22,10005,1,6076,1298,1029,9,0,120,4,24,6,19751,359
Te Tai Tokerau,112,5,218,1,108,709,74,32,9200,5,6204,1883,1495,6,10,74,0,24,3,20163,292
Te Tai Tonga,131,14,207,6,76,1430,122,69,9833,4,4414,2210,1102,4,2,158,0,38,13,19833,261
Waiariki,42,6,182,2,205,518,28,57,8903,4,6890,1075,1525,9,6,47,1,26,13,19539,366
Maori Electorate Totals,661,38,1511,19,983,5401,374,266,69172,27,39883,10279,8430,76,31,636,11,189,67,138054,2167
Combined Totals,85496,1909,9515,1208,8176,157613,21241,12755,796880,1176,55980,1053398,95356,8640,465,13016,313,20497,932,2344566,11970
