Party Votes and Turnout by Electorate
,,,,,,"Party Votes Cast",,,,,,"Percentage of"
,,,"Valid Votes Cast",,"Informal Votes Cast"
"Electoral District","Ordinary Votes","Special Votes","Valid Total (a)+(b)","Ordinary Votes","Special Votes","Informal Total (d)+(e)","Ordinary Votes Disallowed","Special Votes Disallowed","Total Votes Cast (c)+(f)+(g)+(h)","Electors on Master Roll","Electoral Population","Votes Cast to Electors on Master Roll","Informal Votes Recorded"
"Waimakariri",34565,2936,37501,111,3,114,4,142,37761,45655,57504,82.70945132,.30307058
"Wairarapa",34055,2649,36704,124,7,131,5,159,36999,45334,57949,81.61424097,.35564002
"Waitakere",27421,4002,31423,130,19,149,0,399,31971,40370,54887,79.19494674,.47193716
"Waitaki",36344,3419,39763,177,8,185,0,135,40083,48051,60135,83.41761878,.46310203
"Wellington Central",33021,8179,41200,71,15,86,29,294,41609,48989,58799,84.93539366,.20830306
"West Coast-Tasman",31870,2590,34460,199,24,223,1,144,34828,42743,56309,81.48234799,.64296629
"Whanganui",31947,2325,34272,154,8,162,14,129,34577,43737,58213,79.05663397,.47046524
"Whangarei",33573,2903,36476,225,15,240,8,195,36919,45335,58499,81.43597662,.65366598
"Wigram",31368,3734,35102,267,24,291,10,275,35678,45146,60047,79.02804235,.82219648
"General Electorate Totals",1973603,232909,2206512,8942,861,9803,370,16461,2233146,2761093,3612868,80.87905768,.44427585
"Hauraki-Waikato",15932,2752,18684,315,43,358,9,403,19454,31948,58394,60.89270064,1.88005462
"Ikaroa-Rawhiti",17599,2206,19805,260,24,284,5,480,20574,32820,59248,62.68738574,1.41370899
"Tamaki Makaurau",17289,2990,20279,208,39,247,8,289,20823,35606,60380,58.48171656,1.20335185
"Te Tai Hauauru",17428,2323,19751,329,30,359,10,446,20566,32522,61033,63.23719328,1.7851815
"Te Tai Tokerau",17598,2565,20163,259,33,292,16,441,20912,33060,60535,63.25468845,1.42752383
"Te Tai Tonga",17529,2304,19833,235,26,261,6,291,20391,31771,59108,64.18117151,1.29889519
"Waiariki",17235,2304,19539,327,39,366,3,706,20614,31939,58052,64.54178277,1.83873399
"Maori Electorate Totals",120610,17444,138054,1933,234,2167,57,3056,143334,229666,416750,62.40976026,1.54541759
"Combined Totals",2094213,250353,2344566,10875,1095,11970,427,19517,2376480,2990759,4029618,79.46076565,.50794896
