Party Votes and Turnout by Electorate
,,,,,,"Party Votes Cast",,,,,,"Percentage of"
,,,"Valid Votes Cast",,"Informal Votes Cast"
"Electoral District","Ordinary Votes","Special Votes","Valid Total (a)+(b)","Ordinary Votes","Special Votes","Informal Total (d)+(e)","Ordinary Votes Disallowed","Special Votes Disallowed","Total Votes Cast (c)+(f)+(g)+(h)","Electors on Master Roll","Electoral Population","Votes Cast to Electors on Master Roll","Informal Votes Recorded"
,(a),(b),(c),(d),(e),(f),(g),(h),(i),(j),(k),(i/j),(f/c+f)
"Auckland Central",28088,7120,35208,82,19,101,5,349,35663,44317,57872,80.47250491,.28604605
"Bay of Plenty",33640,3034,36674,111,7,118,5,229,37026,44899,56358,82.46508831,.3207219
"Botany",27957,3645,31602,120,11,131,1,285,32019,41969,54408,76.29202507,.41281946
"Christchurch Central",28476,4547,33023,105,14,119,34,283,33459,42226,58309,79.23791029,.35906101
"Christchurch East",31539,2888,34427,192,10,202,7,196,34832,42988,55804,81.02726342,.58332611
"Clutha-Southland",30866,2933,33799,134,8,142,1,122,34064,42394,58166,80.35099307,.41837306
"Coromandel",33456,3048,36504,190,14,204,5,127,36840,45176,56524,81.54772446,.55573717
"Dunedin North",28856,4164,33020,81,8,89,0,162,33271,40789,56830,81.56856015,.26880909
"Dunedin South",34414,2838,37252,171,12,183,0,132,37567,45067,57012,83.35811126,.48884734
"East Coast",29417,2415,31832,122,8,130,0,224,32186,40648,55045,79.18224759,.406733
"East Coast Bays",31831,3478,35309,85,6,91,8,214,35622,44424,57391,80.18638574,.25706215
"Epsom",32210,6179,38389,83,13,96,19,237,38741,47815,59103,81.02269162,.24944784
"Hamilton East",30052,3775,33827,101,11,112,17,220,34176,42463,55839,80.48418623,.33000383
"Hamilton West",30353,3447,33800,171,17,188,12,268,34268,43582,57867,78.6287917,.5531364
"Helensville",32742,4246,36988,101,9,110,2,198,37298,45336,59610,82.27016058,.29651194
"Hunua",31391,3293,34684,105,13,118,0,246,35048,42410,54671,82.64088658,.33906097
"Hutt South",30997,3515,34512,144,13,157,0,380,35049,42588,56623,82.29783037,.45285413
"Ilam",32935,4060,36995,127,9,136,4,148,37283,45418,59869,82.08859923,.36627077
"Invercargill",32669,2383,35052,140,3,143,6,147,35348,44411,57411,79.59289365,.40630771
"Kaikoura",32626,3024,35650,149,11,160,9,144,35963,43790,56593,82.12605618,.44680257
"Mana",30846,3790,34636,108,15,123,17,400,35176,42440,56603,82.88407163,.35386519
"Mangere",21407,3667,25074,254,25,279,0,858,26211,36630,54673,71.55610156,1.10046148
"Manukau East",23065,4134,27199,252,35,287,2,867,28355,39631,58586,71.54752593,1.04416794
"Manurewa",22240,3941,26181,186,34,220,0,668,27069,36790,54662,73.57705898,.83330177
"Maungakiekie",29785,5296,35081,169,22,191,18,466,35756,44986,59098,79.48250567,.54150601
"Mt Albert",29276,5687,34963,233,23,256,18,388,35625,44436,58944,80.17148258,.72688038
"Mt Roskill",29578,4507,34085,170,18,188,7,413,34693,44665,58833,77.6737938,.54853675
"Napier",32699,2787,35486,158,11,169,3,230,35888,43605,55990,82.30248825,.47398682
"Nelson",33099,3121,36220,106,9,115,6,207,36548,44698,56088,81.76652199,.31649924
"New Lynn",30892,4287,35179,190,13,203,0,302,35684,44513,58652,80.16534496,.57373806
"New Plymouth",32205,2494,34699,154,21,175,2,113,34989,44540,54995,78.55635384,.5018065
"North Shore",34717,4445,39162,89,13,102,1,214,39479,47430,59346,83.2363483,.25977995
"Northcote",31398,3964,35362,98,9,107,0,247,35716,44719,58128,79.86761779,.30167188
"Northland",31166,3074,34240,121,11,132,0,229,34601,43178,59434,80.13571726,.38403352
"Ohariu",33810,4378,38188,75,13,88,0,175,38451,45610,57419,84.30388073,.22990908
"Otaki",36108,3054,39162,102,9,111,1,175,39449,46409,57456,85.00290892,.28263693
"Pakuranga",32120,3222,35342,70,10,80,5,218,35645,44887,57283,79.41051975,.22584834
"Palmerston North",31368,3314,34682,137,22,159,6,226,35073,43205,58124,81.17810439,.45635889
"Papakura",28559,3824,32383,169,19,188,2,389,32962,41681,56289,79.08159593,.57720058
"Port Hills",32426,4237,36663,115,17,132,3,191,36989,44392,55568,83.32357181,.35874439
"Rangitata",35427,2541,37968,256,16,272,7,145,38392,47194,60388,81.34932407,.71129707
"Rangitikei",30552,3216,33768,129,9,138,4,162,34072,41430,56081,82.23992276,.40700761
"Rimutaka",32388,3161,35549,114,12,126,7,263,35945,43425,56757,82.77489925,.35318851
"Rodney",34711,3331,38042,100,7,107,9,172,38330,45691,58005,83.88960627,.28047917
"Rongotai",32752,5345,38097,147,20,167,19,389,38672,45913,57950,84.22886764,.43644156
"Rotorua",30510,2928,33438,141,13,154,1,254,33847,42315,58827,79.98818386,.45844249
"Selwyn",33281,3398,36679,145,10,155,0,132,36966,43803,54760,84.39148004,.42080686
"Tamaki",33384,5148,38532,134,18,152,12,300,38996,47330,58315,82.39171773,.39292731
"Taranaki-King Country",29601,2701,32302,141,12,153,0,149,32604,40591,55389,80.32322436,.47142197
"Taupo",32319,3153,35472,185,16,201,6,258,35937,44837,59656,80.15032228,.56345135
"Tauranga",34000,3594,37594,141,6,147,8,246,37995,46126,57432,82.37219789,.38949683
"Te Atatu",27530,4208,31738,159,15,174,0,367,32279,41670,56922,77.46340293,.54524944
"Tukituki",32713,2926,35639,122,12,134,0,284,36057,43957,57928,82.02789089,.37458418
"Waikato",28992,3267,32259,100,7,107,0,181,32547,40296,54640,80.76980345,.33059383
