Votes for Registered Parties by Electorate,,,,,,,,,,,,,,,,,,,
,XX,,,,,,,,,,,,,,,,,,
Electorate,ACT New Zealand,Animal Justice Party,Aotearoa Legalise Cannabis Party,DemocracyNZ,Freedoms NZ,Green Party,Labour Party,Leighton Baker,National Party,New Conservatives,New Nation Party,New Zealand First Party,NZ Loyal,NewZeal,Māori Party,The Opportunities Party (TOP),Women’s Rights Party,Total Valid Party Votes,Informal Party Votes
Auckland Central,3301,50,142,32,48,8503,8028,3,11751,30,26,1351,217,38,563,1250,45,35378,85
Banks Peninsula,3919,111,182,146,61,9763,13200,53,15839,62,22,2658,389,323,388,2401,42,49559,194
Bay of Plenty,5212,88,193,79,140,3635,7905,58,21452,56,24,3957,714,444,577,894,24,45452,209
Botany,2788,98,106,29,127,2212,7708,12,22239,86,37,1136,280,156,188,439,27,37668,189
Christchurch Central,2646,106,174,82,71,7746,11357,51,12403,78,36,2073,253,108,405,2042,59,39690,166
Christchurch East,2786,114,223,106,114,5675,13418,118,11208,175,24,2676,402,205,415,1339,46,39044,203
Coromandel,5588,51,185,99,126,3672,9223,32,20206,43,19,4895,1580,270,362,509,32,46892,284
Dunedin,2460,57,159,25,44,11449,13160,19,9652,94,18,2396,402,114,613,1810,35,42507,129
East Coast,3599,43,164,199,178,3015,12054,29,14908,56,20,3896,546,247,915,460,25,40354,264
East Coast Bays,3774,62,105,34,51,3462,5716,7,22508,58,24,1532,386,409,137,646,32,38943,136
Epsom,5041,46,66,16,34,5507,5945,2,20948,28,5,1059,123,76,299,1307,26,40528,109
Hamilton East,3085,69,110,39,80,4718,9497,25,16373,91,19,1914,341,204,565,1040,40,38210,173
Hamilton West,3398,94,169,55,141,3863,10242,17,16026,97,24,2410,322,163,711,967,37,38736,176
Hutt South,2493,77,147,53,99,6727,14087,21,14772,50,2,2257,324,215,581,1448,32,43385,191
Ilam,3557,50,179,101,50,6398,9402,27,18470,96,23,1729,150,85,265,2138,47,42767,136
Invercargill,3967,68,235,48,137,2332,9589,32,16027,54,29,2778,1099,212,278,482,38,37405,315
Kaikōura,5911,73,176,269,97,3282,8714,98,17281,111,43,3819,850,261,215,703,36,41939,282
Kaipara ki Mahurangi,6011,113,186,300,126,4767,8450,24,23725,75,31,3311,874,365,338,914,44,49654,148
Kelston,1990,56,125,97,93,4709,12460,12,10442,70,12,1580,238,267,591,650,30,33422,208
Mana,2250,86,161,52,110,6297,16016,13,12084,46,17,2215,300,275,792,1158,46,41918,173
Māngere,624,41,120,17,266,2306,18042,12,5656,54,11,973,94,244,628,272,26,29386,327
Manurewa,806,48,136,18,362,1777,15623,14,8808,56,39,1037,137,233,632,179,39,29944,369
Maungakiekie,2863,51,111,25,89,4964,9801,5,14935,45,7,1379,157,142,336,952,30,35892,149
Mt Albert,2681,51,115,21,60,10023,10341,5,12706,30,9,1219,147,83,641,1474,39,39645,121
Mt Roskill,2227,49,97,20,93,4422,10959,4,15828,67,9,1294,131,196,289,765,24,36474,256
Napier,4503,69,199,205,79,3476,10810,26,16670,44,18,2794,514,215,380,621,36,40659,240
Nelson,4428,75,187,100,263,6154,12520,31,13856,82,15,2612,642,290,343,1058,50,42706,254
New Lynn,3183,69,152,72,104,6859,11020,7,15287,60,15,2020,454,221,502,903,40,40968,230
New Plymouth,4388,88,202,54,149,3674,10442,24,18208,54,117,3134,942,180,617,848,51,43172,163
North Shore,4540,48,111,35,53,4851,7318,7,21050,53,24,1604,209,133,207,1055,42,41340,100
Northcote,3381,81,118,38,103,5548,9014,8,16975,54,14,1641,216,139,295,1208,38,38871,182
Northland,4729,114,307,784,208,3705,10211,57,16418,64,64,6523,1529,280,716,577,41,46327,161
Ōhāriu,2524,62,114,25,58,8623,12457,12,14841,65,11,1442,112,119,519,1882,31,42897,121
Ōtaki,3306,89,158,48,137,4703,13709,17,16520,52,20,3437,637,210,510,692,34,44279,270
Pakuranga,3638,96,115,30,87,2650,6124,15,21458,54,5,1397,236,136,184,531,27,36783,136
Palmerston North,2970,96,199,47,77,4454,11293,23,12195,61,17,2242,437,290,625,821,30,35877,201
Panmure-Ōtāhuhu,1100,50,133,20,222,2601,16024,7,8074,37,13,1001,124,187,410,369,33,30405,318
