Electorate Candidate Votes and Turnout by Electorate
,,,,,,Party Votes Cast,,,,,,Percentage of
,,Valid Votes Cast,,,Informal Votes Cast
Electoral District,Ordinary Votes,Special Votes,Valid Total (a)+(b),Ordinary Votes,Special Votes,Informal Total (d)+(e),Ordinary Votes Disallowed,Special Votes Disallowed,Total Votes Cast (c)+(f)+(g)+(h),Electors on Master Roll,Electoral Population,Votes Cast to Electors on Master Roll,Valid Votes Recorded for Elected Candidate to Total Votes Cast,Informal Votes Recorded
,(a),(b),(c),(d),(e),(f),(g),(h),(i),(j),(k),(i/j),,(f/c+f)
Auckland Central,23227,11220,34447,160,139,299,0,988,35734,45426,62919,78.66,46.52,0.86
Banks Peninsula,40407,8484,48891,331,109,440,38,575,49944,59383,68134,84.10,35.76,0.89
Bay of Plenty,36882,7685,44567,402,158,560,12,683,45822,56200,64223,81.53,50.86,1.24
Botany,28936,7590,36526,466,212,678,13,870,38087,53160,65124,71.65,65.03,1.82
Christchurch Central,29600,9120,38720,283,189,472,10,842,40044,50999,65571,78.52,38.84,1.20
Christchurch East,31803,6532,38335,348,122,470,3,570,39378,50898,63850,77.37,38.51,1.21
Coromandel,39560,6652,46212,386,132,518,8,603,47341,56842,64568,83.29,52.98,1.11
Dunedin,34133,7627,41760,271,97,368,12,650,42790,52791,67167,81.06,39.99,0.87
East Coast,34009,5432,39441,417,92,509,17,866,40833,52692,66175,77.49,41.65,1.27
East Coast Bays,30061,8144,38205,318,187,505,4,539,39253,51498,64635,76.22,70.53,1.30
Epsom,28283,11493,39776,198,141,339,2,790,40907,51972,62147,78.71,43.58,0.85
Hamilton East,29209,7843,37052,342,167,509,24,1157,38742,50162,67683,77.23,46.33,1.36
Hamilton West,30357,7225,37582,417,217,634,53,976,39245,51870,67010,75.66,44.83,1.66
Hutt South,35475,7311,42786,236,125,361,15,701,43863,54075,66564,81.12,43.64,0.84
Ilam,33187,8887,42074,269,133,402,15,607,43098,53696,67502,80.26,43.37,0.95
Invercargill,32626,4267,36893,424,116,540,9,394,37836,48667,64992,77.74,55.02,1.44
Kaikōura,35726,5785,41511,345,73,418,16,409,42354,51277,64383,82.60,48.97,1.00
Kaipara ki Mahurangi,38828,9807,48635,304,156,460,19,923,50037,59899,65280,83.54,56.52,0.94
Kelston,24967,7470,32437,354,179,533,6,944,33920,47767,62689,71.01,42.49,1.62
Mana,33964,7181,41145,342,104,446,16,684,42291,53033,65980,79.74,47.76,1.07
Māngere,21064,7159,28223,516,277,793,0,1079,30095,47671,65515,63.13,57.47,2.73
Manurewa,19606,8398,28004,636,422,1058,13,1639,30714,47302,66763,64.93,52.94,3.64
Maungakiekie,25495,9526,35021,324,190,514,19,740,36294,47642,62072,76.18,46.71,1.45
Mt Albert,27994,10822,38816,275,155,430,14,755,40015,49787,60531,80.37,33.08,1.10
Mt Roskill,26870,8442,35312,586,270,856,12,881,37061,51903,66303,71.40,42.25,2.37
Napier,34462,5509,39971,325,104,429,23,668,41091,50496,63257,81.37,52.04,1.06
Nelson,35926,6098,42024,496,150,646,24,437,43131,53054,64019,81.30,40.67,1.51
New Lynn,31436,8364,39800,501,206,707,3,926,41436,53284,67217,77.76,38.34,1.75
New Plymouth,36865,5619,42484,382,117,499,7,458,43448,54233,66810,80.11,51.75,1.16
North Shore,31947,8460,40407,402,157,559,4,710,41680,52327,65331,79.65,59.72,1.36
Northcote,30103,7778,37881,284,142,426,13,918,39238,51123,65249,76.75,53.03,1.11
Northland,38708,6640,45348,245,81,326,20,1137,46831,57049,67803,82.09,34.75,0.71
Ōhāriu,34140,8214,42354,229,95,324,18,495,43191,51803,62261,83.38,40.67,0.76
Ōtaki,37605,5840,43445,512,128,640,12,625,44722,54084,63263,82.69,49.52,1.45
Pakuranga,28772,7249,36021,382,162,544,17,524,37106,48582,62498,76.38,70.35,1.49
Palmerston North,29488,5524,35012,471,137,608,9,565,36194,46413,62127,77.98,42.38,1.71
Panmure-Ōtāhuhu,20306,8612,28918,528,335,863,46,1370,31197,49468,67234,63.07,49.23,2.90
Papakura,31141,9914,41055,377,289,666,38,1195,42954,53610,61820,80.12,56.13,1.60
Port Waikato,0,0,0,0,0,0,0,804,804,52482,59225,1.53,0.00,0.00
Rangitata,35049,4959,40008,308,111,419,9,317,40753,50729,67816,80.33,55.93,1.04
Rangitīkei,34450,5889,40339,429,121,550,4,729,41622,50380,63668,82.62,45.52,1.35
Remutaka,34653,6539,41192,385,119,504,14,628,42338,53179,67028,79.61,52.78,1.21
Rongotai,32856,9149,42005,370,118,488,38,537,43068,52533,62897,81.98,38.51,1.15
Rotorua,30199,5625,35824,507,193,700,10,680,37214,47615,63585,78.16,51.97,1.92
Selwyn,39647,7929,47576,433,145,578,29,622,48805,56957,62209,85.69,64.55,1.20
Southland,32686,6319,39005,347,90,437,11,522,39975,48743,65088,82.01,58.11,1.11
Taieri,36360,5230,41590,387,111,498,18,556,42662,52599,65309,81.11,38.86,1.18
Takanini,27417,10453,37870,717,615,1332,6,1263,40471,56881,66306,71.15,54.20,3.40
Tāmaki,31899,9016,40915,285,145,430,28,674,42047,51802,61742,81.17,42.47,1.04
Taranaki-King Country,33275,6226,39501,805,224,1029,12,680,41222,49825,63450,82.73,60.07,2.54
Taupō,36357,6627,42984,400,120,520,15,744,44263,54556,68078,81.13,56.16,1.20
Tauranga,33945,6996,40941,426,177,603,11,749,42304,52429,66787,80.69,44.87,1.45
Te Atatū,28002,8036,36038,548,246,794,13,788,37633,51611,67421,72.92,37.74,2.16
Tukituki,34662,5913,40575,374,133,507,16,765,41863,51739,66560,80.91,52.51,1.23
Upper Harbour,30327,9854,40181,399,187,586,5,871,41643,55817,66240,74.61,51.62,1.44
Waikato,34675,7222,41897,500,194,694,0,911,43502,52527,64265,82.82,63.09,1.63
Waimakariri,39435,6598,46033,343,131,474,34,457,46998,57134,65942,82.26,57.06,1.02
Wairarapa,38520,5530,44050,330,127,457,6,482,44995,54434,64402,82.66,45.15,1.03
Waitaki,37367,6414,43781,371,113,484,36,472,44773,53304,64983,84.00,50.64,1.09
Wellington Central,32627,12542,45169,180,107,287,1,795,46252,54746,64272,84.48,39.87,0.63
West Coast-Tasman,35792,5802,41594,247,64,311,2,397,42304,51878,63677,81.55,31.48,0.74
Whanganui,33823,4906,38729,398,113,511,27,438,39705,50286,64175,78.96,46.55,1.30
Whangaparāoa,37548,8710,46258,363,167,530,20,653,47461,57157,65847,83.04,64.77,1.13
Whangārei,36763,5967,42730,297,97,394,0,675,43799,54371,67131,80.56,47.59,0.91
Wigram,28901,8081,36982,417,230,647,65,597,38291,50140,66396,76.37,40.71,1.72
