Electorate Candidate Votes and Turnout by Electorate
,,,,,,Party Votes Cast,,,,,,Percentage of
,,Valid Votes Cast,,,Informal Votes Cast
Electoral District,Ordinary Votes,Special Votes,Valid Total (a)+(b),Ordinary Votes,Special Votes,Informal Total (d)+(e),Ordinary Votes Disallowed,Special Votes Disallowed,Total Votes Cast (c)+(f)+(g)+(h),Electors on Master Roll,Electoral Population,Votes Cast to Electors on Master Roll,Valid Votes Recorded for Elected Candidate to Total Votes Cast,Informal Votes Recorded
General Electorate Totals,2080403,480455,2560858,24650,10463,35113,1014,47699,2644684,3397992,4221168,77.83,,1.35
Hauraki-Waikato,17515,6672,24187,595,278,873,15,1752,26827,39650,67522,67.66,48.23,3.48
Ikaroa-Rāwhiti,19880,5527,25407,526,185,711,7,1237,27362,40285,66474,67.92,50.24,2.72
Tāmaki Makaurau,18241,6882,25123,283,198,481,3,1746,27353,43140,66860,63.41,36.81,1.88
Te Tai Hauāuru,19417,6117,25534,410,193,603,5,1319,27461,39851,68032,68.91,59.31,2.31
Te Tai Tokerau,20256,6636,26892,632,248,880,5,1548,29325,42462,68173,69.06,35.56,3.17
Te Tai Tonga,20958,5542,26500,693,217,910,12,1179,28601,41912,68874,68.24,44.85,3.32
Waiariki,21184,6992,28176,548,234,782,17,1485,30460,43000,67111,70.84,70.58,2.70
Māori Electorate Totals,137451,44368,181819,3687,1553,5240,64,10266,197389,290300,473046,67.99,,2.80
Combined Totals,2217854,524823,2742677,28337,12016,40353,1078,57965,2842073,3688292,4694214,77.06,,1.45
