Party Votes and Turnout by Electorate
,,,,,,Party Votes Cast,,,,,,Percentage of
,,Valid Votes Cast,,,Informal Votes Cast
Electoral District,Ordinary Votes,Special Votes,Valid Total (a)+(b),Ordinary Votes,Special Votes,Informal Total (d)+(e),Ordinary Votes Disallowed,Special Votes Disallowed,Total Votes Cast (c)+(f)+(g)+(h),Electors on Master Roll,Electoral Population,Votes Cast to Electors on Master Roll,Informal Votes Recorded
,(a),(b),(c),(d),(e),(f),(g),(h),(i),(j),(k),(i/j),(f/c+f)
Auckland Central,23340,12038,35378,47,38,85,0,271,35734,45426,62919,78.66,0.24
Banks Peninsula,40568,8991,49559,170,24,194,38,153,49944,59383,68134,84.10,0.39
Bay of Plenty,37116,8336,45452,168,41,209,12,149,45822,56200,64223,81.53,0.46
Botany,29254,8414,37668,148,41,189,13,217,38087,53160,65124,71.65,0.50
Christchurch Central,29765,9925,39690,118,48,166,10,178,40044,50999,65571,78.52,0.42
Christchurch East,31988,7056,39044,163,40,203,3,128,39378,50898,63850,77.37,0.52
Coromandel,39722,7170,46892,224,60,284,8,157,47341,56842,64568,83.29,0.60
Dunedin,34297,8210,42507,107,22,129,12,142,42790,52791,67167,81.06,0.30
East Coast,34204,6150,40354,222,42,264,17,198,40833,52692,66175,77.49,0.65
East Coast Bays,30278,8665,38943,101,35,136,4,170,39253,51498,64635,76.22,0.35
Epsom,28401,12127,40528,80,29,109,2,268,40907,51972,62147,78.71,0.27
Hamilton East,29431,8779,38210,120,53,173,24,335,38742,50162,67683,77.23,0.45
Hamilton West,30648,8088,38736,126,50,176,53,280,39245,51870,67010,75.66,0.45
Hutt South,35567,7818,43385,144,47,191,15,272,43863,54075,66564,81.12,0.44
Ilam,33357,9410,42767,99,37,136,15,180,43098,53696,67502,80.26,0.32
Invercargill,32802,4603,37405,248,67,315,9,107,37836,48667,64992,77.74,0.84
Kaikōura,35840,6099,41939,231,51,282,16,117,42354,51277,64383,82.60,0.67
Kaipara ki Mahurangi,39033,10621,49654,99,49,148,19,216,50037,59899,65280,83.54,0.30
Kelston,25160,8262,33422,161,47,208,6,284,33920,47767,62689,71.01,0.62
Mana,34176,7742,41918,130,43,173,16,184,42291,53033,65980,79.74,0.41
Māngere,21370,8016,29386,210,117,327,0,382,30095,47671,65515,63.13,1.10
Manurewa,19997,9947,29944,245,124,369,13,388,30714,47302,66763,64.93,1.22
Maungakiekie,25720,10172,35892,99,50,149,19,234,36294,47642,62072,76.18,0.41
Mt Albert,28189,11456,39645,80,41,121,14,235,40015,49787,60531,80.37,0.30
Mt Roskill,27269,9205,36474,187,69,256,12,319,37061,51903,66303,71.40,0.70
Napier,34595,6064,40659,192,48,240,23,169,41091,50496,63257,81.37,0.59
Nelson,36207,6499,42706,215,39,254,24,147,43131,53054,64019,81.30,0.59
New Lynn,31768,9200,40968,169,61,230,3,235,41436,53284,67217,77.76,0.56
New Plymouth,37121,6051,43172,126,37,163,7,106,43448,54233,66810,80.11,0.38
North Shore,32280,9060,41340,69,31,100,4,236,41680,52327,65331,79.65,0.24
Northcote,30247,8624,38871,140,42,182,13,172,39238,51123,65249,76.75,0.47
Northland,38824,7503,46327,129,32,161,20,323,46831,57049,67803,82.09,0.35
Ōhāriu,34290,8607,42897,79,42,121,18,155,43191,51803,62261,83.38,0.28
Ōtaki,37911,6368,44279,206,64,270,12,161,44722,54084,63263,82.69,0.61
Pakuranga,29054,7729,36783,100,36,136,17,170,37106,48582,62498,76.38,0.37
Palmerston North,29805,6072,35877,154,47,201,9,107,36194,46413,62127,77.98,0.56
Panmure-Ōtāhuhu,20643,9762,30405,191,127,318,46,428,31197,49468,67234,63.07,1.04
Papakura,31388,11043,42431,130,95,225,38,260,42954,53610,61820,80.12,0.53
Port Waikato,34156,8243,42399,198,60,258,0,185,42842,52482,59225,81.63,0.60
Rangitata,35211,5250,40461,146,42,188,9,95,40753,50729,67816,80.33,0.46
Rangitīkei,34764,6509,41273,115,35,150,4,195,41622,50380,63668,82.62,0.36
Remutaka,34727,7009,41736,311,99,410,14,178,42338,53179,67028,79.61,0.97
Rongotai,33060,9555,42615,166,40,206,38,209,43068,52533,62897,81.98,0.48
Rotorua,30538,6279,36817,168,48,216,10,171,37214,47615,63585,78.16,0.58
Selwyn,39992,8513,48505,88,31,119,29,152,48805,56957,62209,85.69,0.24
Southland,32915,6773,39688,118,30,148,11,128,39975,48743,65088,82.01,0.37
Taieri,36552,5707,42259,195,52,247,18,138,42662,52599,65309,81.11,0.58
Takanini,27918,11825,39743,216,104,320,6,402,40471,56881,66306,71.15,0.80
Tāmaki,32081,9602,41683,103,25,128,28,208,42047,51802,61742,81.17,0.31
Taranaki-King Country,33919,6917,40836,161,48,209,12,165,41222,49825,63450,82.73,0.51
Taupō,36620,7238,43858,137,33,170,15,220,44263,54556,68078,81.13,0.39
Tauranga,34249,7703,41952,122,40,162,11,179,42304,52429,66787,80.69,0.38
Te Atatū,28379,8754,37133,171,84,255,13,232,37633,51611,67421,72.92,0.68
Tukituki,34836,6489,41325,200,64,264,16,258,41863,51739,66560,80.91,0.63
Upper Harbour,30552,10625,41177,174,74,248,5,213,41643,55817,66240,74.61,0.60
Waikato,35028,8118,43146,147,49,196,0,160,43502,52527,64265,82.82,0.45
Waimakariri,39666,7055,46721,112,30,142,34,101,46998,57134,65942,82.26,0.30
Wairarapa,38695,5979,44674,155,44,199,6,116,44995,54434,64402,82.66,0.44
Waitaki,37559,6834,44393,179,41,220,36,124,44773,53304,64983,84.00,0.49
