Party Votes and Turnout by Electorate
,,,,,,Party Votes Cast,,,,,,Percentage of
,,Valid Votes Cast,,,Informal Votes Cast
Electoral District,Ordinary Votes,Special Votes,Valid Total (a)+(b),Ordinary Votes,Special Votes,Informal Total (d)+(e),Ordinary Votes Disallowed,Special Votes Disallowed,Total Votes Cast (c)+(f)+(g)+(h),Electors on Master Roll,Electoral Population,Votes Cast to Electors on Master Roll,Informal Votes Recorded
Wellington Central,32715,13148,45863,92,34,126,1,262,46252,54746,64272,84.48,0.27
West Coast-Tasman,35830,6143,41973,209,27,236,2,93,42304,51878,63677,81.55,0.56
Whanganui,34048,5318,39366,173,37,210,27,102,39705,50286,64175,78.96,0.53
Whangaparāoa,37820,9335,47155,91,29,120,20,166,47461,57157,65847,83.04,0.25
Whangārei,36836,6512,43348,224,62,286,0,165,43799,54371,67131,80.56,0.66
Wigram,29179,8689,37868,139,57,196,65,162,38291,50140,66396,76.37,0.51
General Electorate Totals,2129470,530004,2659474,9937,3285,13222,1014,13012,2686722,3397992,4221168,79.07,0.49
Hauraki-Waikato,17817,7938,25755,293,204,497,15,560,26827,39650,67522,67.66,1.89
Ikaroa-Rāwhiti,20100,6429,26529,306,130,436,7,390,27362,40285,66474,67.92,1.62
Tāmaki Makaurau,18322,8343,26665,202,171,373,3,312,27353,43140,66860,63.41,1.38
Te Tai Hauāuru,19513,7210,26723,314,147,461,5,272,27461,39851,68032,68.91,1.70
Te Tai Tokerau,20632,7841,28473,256,154,410,5,437,29325,42462,68173,69.06,1.42
Te Tai Tonga,21452,6655,28107,199,103,302,12,180,28601,41912,68874,68.24,1.06
Waiariki,21352,8133,29485,380,186,566,17,392,30460,43000,67111,70.84,1.88
Māori Electorate Totals,139188,52549,191737,1950,1095,3045,64,2543,197389,290300,473046,67.99,1.56
Combined Totals,2268658,582553,2851211,11887,4380,16267,1078,15555,2884111,3688292,4694214,78.20,0.57
