Summary of Overall Results,,,,,,,,,,
,,,,Number of Names on Party List,,,,Number Nominated,,
,,,,468,,,,495,,
,,Party List,,,,Electorate Candidates,,,,
Parties(Grouped),Seats Allocated,Party Vote (n),Party Vote (%),No. on Party List,Seats Won,Electorate Vote (n),Electorate Vote (%),No. Nominated,Registered,Successful
ACT New Zealand,9,246473,8.64,60,2,149507,5.45,59,Yes,Yes
Animal Justice Party ,0,5018,0.18,17,0,5829,0.21,17,Yes,No
Aotearoa Legalise Cannabis Party,0,13025,0.46,16,0,12566,0.46,14,Yes,No
DemocracyNZ,0,6786,0.24,13,0,12060,0.44,13,Yes,No
Freedoms NZ,0,9586,0.34,35,0,0,0,0,Yes,No
NZ Outdoors & Freedom Party,0,0,0,0,0,3030,0.11,3,Yes,No
Rock the Vote NZ,0,0,0,0,0,659,0.02,4,Yes,No
Vision New Zealand,0,0,0,0,0,10466,0.38,25,Yes,No
Green Party,12,330907,11.61,49,3,226575,8.26,52,Yes,Yes
Labour Party,17,767540,26.92,76,17,855963,31.21,72,Yes,Yes
Leighton Baker Party,0,2105,0.07,3,0,2623,0.1,3,Yes,No
National Party,5,1085851,38.08,74,43,1192251,43.47,67,Yes,Yes
New Conservatives,0,4532,0.16,10,0,3167,0.12,10,Yes,No
New Nation Party,0,1530,0.05,10,0,433,0.02,3,Yes,No
New Zealand First Party,8,173553,6.09,35,0,76676,2.8,34,Yes,Yes
New Zealand Loyal,0,34478,1.21,3,0,32240,1.18,33,Yes,No
NewZeal,0,16126,0.57,11,0,3585,0.13,4,Yes,No
Māori Party,0,87844,3.08,31,6,106584,3.89,17,Yes,Yes
The Opportunities Party (TOP),0,63344,2.22,13,0,27975,1.02,13,Yes,No
Women’s Rights Party,0,2513,0.09,12,0,0,0,0,Yes,No
Economic Euthenics ,0,0,0,0,0,74,0,1,No,No
Future Youth Party,0,0,0,0,0,66,0,1,No,No
Human Rights Party,0,0,0,0,0,104,0,1,No,No
Money Free Party NZ,0,0,0,0,0,131,0,2,No,No
NAP,0,0,0,0,0,131,0,2,No,No
New World Order McCann Party ,0,0,0,0,0,27,0,1,No,No
New Zealand Sovereignty Party,0,0,0,0,0,83,0,1,No,No
Northland Party,0,0,0,0,0,369,0.01,1,No,No
Progressive Aotearoa New Zealand,0,0,0,0,0,169,0.01,1,No,No
Protect and Prosper New Zealand,0,0,0,0,0,280,0.01,2,No,No
Republic of New Zealand Party,0,0,0,0,0,40,0,1,No,No
Workers Now,0,0,0,0,0,302,0.01,2,No,No
Independent,0,0,0,0,0,18712,0.68,36,No,No
