Percentage of Electorate Candidate Votes of Successful Registered Parties,,,,,,,,,,,,,,,
Electorate,ACT New Zealand,,Green Party,,Labour Party,,National Party,,New Zealand First Party,,Māori Party,,Other,,Total Valid Votes
,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,
Waikato,0,0,0,0,8897,21.24,27445,65.51,3587,8.56,0,0,1968,4.7,41897
Waimakariri,2066,4.49,0,0,13806,29.99,26816,58.25,0,0,0,0,3345,7.27,46033
Wairarapa,1907,4.33,1832,4.16,17497,39.72,20313,46.11,0,0,517,1.17,1984,4.5,44050
Waitaki,2477,5.66,3495,7.98,10524,24.04,22675,51.79,1823,4.16,0,0,2787,6.37,43781
Wellington Central,0,0,18439,40.82,12373,27.39,11555,25.58,493,1.09,0,0,2309,5.11,45169
West Coast-Tasman,2520,6.06,2743,6.59,12300,29.57,13317,32.02,1799,4.33,0,0,8915,21.43,41594
Whanganui,1683,4.35,2049,5.29,12972,33.49,18484,47.73,3139,8.11,0,0,402,1.04,38729
Whangaparāoa,2522,5.45,3487,7.54,7366,15.92,30742,66.46,0,0,0,0,2141,4.63,46258
Whangārei,1222,2.86,2680,6.27,9419,22.04,20843,48.78,5371,12.57,859,2.01,2336,5.47,42730
Wigram,1520,4.11,3780,10.22,15590,42.16,14411,38.97,0,0,0,0,1681,4.55,36982
General Electorate Totals,149507,5.84,219463,8.57,789512,30.83,1189560,46.45,76676,2.99,11660,0.46,124480,4.86,2560858
Hauraki-Waikato,0,0,0,0,10028,41.46,0,0,0,0,12939,53.5,1220,5.04,24187
Ikaroa-Rāwhiti,0,0,0,0,13747,54.11,0,0,0,0,10873,42.8,787,3.1,25407
Tāmaki Makaurau,0,0,2925,11.64,10026,39.91,1275,5.08,0,0,10068,40.07,829,3.3,25123
Te Tai Hauāuru,0,0,0,0,7126,27.91,1416,5.55,0,0,16288,63.79,704,2.76,25534
Te Tai Tokerau,0,0,4187,15.57,9911,36.85,0,0,0,0,10428,38.78,2366,8.8,26892
Te Tai Tonga,0,0,0,0,10004,37.75,0,0,0,0,12828,48.41,3668,13.84,26500
Waiariki,0,0,0,0,5609,19.91,0,0,0,0,21500,76.31,1067,3.79,28176
Māori Electorate Totals,0,0,7112,3.91,66451,36.55,2691,1.48,0,0,94924,52.21,10641,5.85,181819
Combined Totals,149507,5.45,226575,8.26,855963,31.21,1192251,43.47,76676,2.8,106584,3.89,135121,4.93,2742677
