Electorate Candidate Votes and Turnout by Electorate
,,,,,,Party Votes Cast,,,,,,Percentage of
,,Valid Votes Cast,,,Informal Votes Cast
Electoral District,Ordinary Votes,Special Votes,Valid Total (a)+(b),Ordinary Votes,Special Votes,Informal Total (d)+(e),Ordinary Votes Disallowed,Special Votes Disallowed,Total Votes Cast (c)+(f)+(g)+(h),Electors on Master Roll,Electoral Population,Votes Cast to Electors on Master Roll,Valid Votes Recorded for Elected Candidate to Total Votes Cast,Informal Votes Recorded
,(a),(b),(c),(d),(e),(f),(g),(h),(i),(j),(k),(i/j),,(f/c+f)
West Coast-Tasman,37797,5030,42827,488,108,596,9,300,43732,50934,63677,85.86,47.45,1.37
Whanganui,35310,4700,40010,881,154,1035,1,415,41461,50003,64175,82.92,53.78,2.52
Whangaparāoa,37646,7082,44728,526,179,705,4,370,45807,53087,65847,86.29,52.01,1.55
Whangārei,38532,5141,43673,508,103,611,13,376,44673,53209,67131,83.96,39.90,1.38
Wigram,31858,6260,38118,593,249,842,12,490,39462,47244,66396,83.53,61.29,2.16
General Electorate Totals,2231429,413777,2645206,39341,12048,51389,559,31179,2728333,3273567,4221168,83.34,,1.91
Hauraki-Waikato,17502,5854,23356,622,363,985,16,847,25204,37031,67522,68.06,63.03,4.05
Ikaroa-Rāwhiti,19459,5092,24551,596,224,820,10,666,26047,38803,66474,67.13,52.37,3.23
Tāmaki Makaurau,19103,5915,25018,574,336,910,11,1099,27038,41521,66860,65.12,37.93,3.51
Te Tai Hauāuru,19333,5619,24952,504,200,704,1,814,26471,37962,68032,69.73,45.94,2.74
Te Tai Tokerau,20303,6000,26303,600,212,812,15,851,27981,40316,68173,69.40,53.36,2.99
Te Tai Tonga,22857,5469,28326,668,211,879,2,838,30045,40054,68874,75.01,47.52,3.01
Waiariki,20497,5989,26486,437,202,639,13,816,27954,40326,67111,69.32,44.32,2.36
Māori Electorate Totals,139054,39938,178992,4001,1748,5749,68,5931,190740,276013,473046,69.11,,3.11
Combined Totals,2370483,453715,2824198,43342,13796,57138,627,37110,2919073,3549580,4694214,82.24,,1.98
