Votes for Registered Parties by Electorate,,,,,,,,,,,,,,,,,,,
,XX,,,,,,,,,,,,,,,,,,
Electorate,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Wellington Central,2339,103,132,14587,1,20876,255,6937,204,537,27,56,18,32,12,1790,8,47914,176
West Coast-Tasman,4237,747,250,3572,5,20521,88,10934,730,1281,229,60,78,33,8,553,21,43347,288
Whanganui,3260,531,198,2004,2,21228,222,10828,690,1368,43,189,63,24,5,390,10,41055,253
Whangaparāoa,4827,525,124,2227,3,18217,91,16696,1028,979,48,55,11,65,39,554,9,45498,180
Whangārei,3650,686,274,2738,4,20942,149,11602,814,2268,42,249,133,23,10,663,44,44291,297
Wigram,2247,282,165,3541,5,21454,124,8388,639,791,28,162,31,24,37,957,15,38890,404
General Electorate Totals,216444,23777,9571,211876,877,1327675,9810,731811,41773,67113,2974,7092,1486,1820,2382,41404,2371,2700256,18178
Hauraki-Waikato,322,685,486,1557,21,15884,3008,915,100,898,28,69,3,9,1,250,301,24537,525
Ikaroa-Rāwhiti,223,638,486,1647,0,17111,3089,593,96,956,44,164,3,6,6,189,161,25412,472
Tāmaki Makaurau,284,490,393,2801,2,16066,3401,832,138,1126,16,64,5,13,8,274,388,26301,485
Te Tai Hauāuru,316,700,550,1762,3,16022,4055,786,85,922,44,208,9,4,4,260,119,25849,404
Te Tai Tokerau,363,771,791,2044,3,16692,2828,1002,108,1974,25,284,3,9,1,279,141,27318,474
Te Tai Tonga,822,635,631,3448,7,17543,2596,1685,208,1030,58,98,7,15,5,547,130,29465,417
Waiariki,257,733,421,1622,1,16552,4843,651,105,1001,67,142,4,4,7,246,626,27282,417
Māori Electorate Totals,2587,4652,3758,14881,37,115870,23820,6464,840,7907,282,1029,34,60,32,2045,1866,186164,3194
Combined Totals,219031,28429,13329,226757,914,1443545,33630,738275,42613,75020,3256,8121,1520,1880,2414,43449,4237,2886420,21372
