Summary of Overall Results,,,,,,,,,,
,,,,Number of Names on Party List,,,,Number Nominated,,
,,,,548,,,,601,,
,,Party List,,,,Electorate Candidates,,,,
Parties(Grouped),Seats Allocated,Party Vote (n),Party Vote (%),No. on Party List,Seats Won,Electorate Vote (n),Electorate Vote (%),No. Nominated,Registered,Successful
ACT New Zealand,9,219031,7.59,57,1,97697,3.46,57,Yes,Yes
Advance NZ,0,28429,0.98,62,0,25054,0.89,54,Yes,No
Aotearoa Legalise Cannabis Party,0,13329,0.46,12,0,8044,0.28,9,Yes,No
Green Party,9,226757,7.86,44,1,162245,5.74,60,Yes,Yes
HeartlandNZ,0,914,0.03,5,0,8462,0.3,1,Yes,No
Labour Party,19,1443545,50.01,81,46,1357501,48.07,72,Yes,Yes
Maori Party,1,33630,1.17,21,1,60837,2.15,7,Yes,Yes
National Party,10,738275,25.58,75,23,963845,34.13,65,Yes,Yes
New Conservative,0,42613,1.48,24,0,49598,1.76,72,Yes,No
New Zealand First Party,0,75020,2.6,28,0,30209,1.07,27,Yes,No
NZ Outdoors Party,0,3256,0.11,28,0,7982,0.28,26,Yes,No
ONE Party,0,8121,0.28,39,0,6830,0.24,29,Yes,No
Social Credit,0,1520,0.05,23,0,2699,0.1,19,Yes,No
Sustainable New Zealand Party,0,1880,0.07,11,0,2421,0.09,10,Yes,No
TEA Party,0,2414,0.08,12,0,2764,0.1,9,Yes,No
The Opportunities Party (TOP),0,43449,1.51,21,0,25181,0.89,21,Yes,No
Vision New Zealand,0,4237,0.15,5,0,2139,0.08,5,Yes,No
Attica,0,0,0,0,0,305,0.01,2,No,No
Climate First,0,0,0,0,0,151,0.01,1,No,No
Communist League,0,0,0,0,0,109,0,2,No,No
Future Youth Party,0,0,0,0,0,50,0,1,No,No
Harmony,0,0,0,0,0,28,0,1,No,No
Human Rights Party,0,0,0,0,0,87,0,1,No,No
Integrity New Zealand,0,0,0,0,0,522,0.02,2,No,No
Money Free Party,0,0,0,0,0,83,0,2,No,No
NAP,0,0,0,0,0,245,0.01,5,No,No
NZ Economic Euthenics Party,0,0,0,0,0,75,0,1,No,No
NZ Public Party,0,0,0,0,0,1349,0.05,1,No,No
Progressive Aotearoa New Zealand,0,0,0,0,0,170,0.01,2,No,No
Republic of New Zealand Party,0,0,0,0,0,28,0,1,No,No
Trump New Zealand Party,0,0,0,0,0,57,0,1,No,No
Voice of the People,0,0,0,0,0,132,0,2,No,No
Independent,0,0,0,0,0,7299,0.26,33,No,No
