Summary of Overall Results,,,,,,,,,,
,,,,Number of Names on Party List,,,,Number Nominated,,
,,,,760,,,,679,,
,Party List,,,, Electorate Candidates ,,,,,
Parties(Grouped),Seats Allocated,Party Vote (n),Party Vote (%),No. on Party List,Seats Won,Electorate Vote (n),Electorate Vote (%),No. Nominated,Registered,Successful
ACT New Zealand,9,145493,7.04,65,0,92445,4.52,61,Yes,Yes
Alliance,9,159859,7.74,60,1,141322,6.9,66,Yes,Yes
Animals First,0,3244,0.16,10,0,0,0,,Yes,No
Aotearoa Legalise Cannabis Party,0,22687,1.1,17,0,6519,0.32,11,Yes,No
Christian Heritage Party of New Zealand,0,49154,2.38,64,0,44885,2.19,65,Yes,No
Freedom Movement,0,454,0.02,40,0,762,0.04,5,Yes,No
Future New Zealand,0,23033,1.12,25,0,19289,0.94,36,Yes,No
Green Party,6,106560,5.16,54,1,86157,4.21,50,Yes,Yes
Labour Party,8,800199,38.74,65,41,854736,41.75,67,Yes,Yes
Libertarianz,0,5949,0.29,30,0,0,0,,Yes,No
McGillicuddy Serious Party,0,3191,0.15,65,0,3633,0.18,16,Yes,No
Mana Maori Movement,0,5190,0.25,28,0,3925,0.19,7,Yes,No
Mauri Pacific,0,4008,0.19,22,0,9321,0.46,20,Yes,No
National Party,17,629932,30.5,64,22,641361,31.32,65,Yes,Yes
Natural Law Party,0,1712,0.08,53,0,2101,0.1,30,Yes,No
New Zealand First Party,4,87926,4.26,40,1,85737,4.19,67,Yes,Yes
NMP,0,936,0.05,19,0,688,0.03,15,Yes,No
OneNZ Party,0,1311,0.06,1,0,267,0.01,1,Yes,No
Republican Party,0,292,0.01,7,0,231,0.01,5,Yes,No
South Island Party,0,2912,0.14,7,0,2408,0.12,5,Yes,No
The Peoples Choice Party,0,387,0.02,2,0,154,0.01,2,Yes,No
United NZ,0,11065,0.54,22,1,22467,1.1,12,Yes,Yes
Asia Pacific United Party,0,0,0,0,0,384,0.02,5,Yes,No
Mana Wahine Te Ira Tangata,0,0,0,0,0,1082,0.05,12,Yes,No
Te Tawharau,0,0,0,0,0,2241,0.11,2,Yes,No
Aotearoa Tenants Party,0,0,0,0,0,50,0,1,No,No
Aroha Ngia Tatou,0,0,0,0,0,171,0.01,2,No,No
Blokes Liberation Front,0,0,0,0,0,169,0.01,1,No,No
Christians Against Abortion,0,0,0,0,0,274,0.01,3,No,No
Communist League,0,0,0,0,0,89,0,2,No,No
Dominion Workers,0,0,0,0,0,9,0,1,No,No
Independent,0,0,0,0,0,23004,1.12,36,No,No
National Democrats Party,0,0,0,0,0,44,0,1,No,No
NZ Economic Euthenics Party,0,0,0,0,0,23,0,1,No,No
NZ Equal Rights Party,0,0,0,0,0,819,0.04,1,No,No
Piri Wiri Tua Movement,0,0,0,0,0,568,0.03,3,No,No
Reform Party,0,0,0,0,0,50,0,1,No,No
Workers Party of New Zealand,0,0,0,0,0,88,0,1,No,No
