General Statistics - Electorate Candidate and Informal Votes,,,,,,,,,,,,,,
,,,,,,Party Votes Cast,,,,,,,Percentage of,
,,,Valid Votes Cast,,Informal Votes Cast,,,,,,,,,
Electoral District,Ordinary Votes,Special Votes,Valid Total (a)+(b),Ordinary Votes,Special Votes,Informal Total (d)+(e),"Ordinary
Votes
Disallowed",Special Votes Disallowed,Total Votes Cast (c)+(f)+(g)+(h),Electors on Master Roll,Electoral Population,Votes Cast to Electors on Master Roll,Valid Votes Recorded for Candidate Elected,Informal Votes Recorded
,(a),(b),(c),(d),(e),(f),,(g),(h),(i),(j),(h:i),(f:c+f),
Waimakariri,31314,2266,33580,222,31,253,,281,34114,42318,55964,80.61345054,51.50671279,0.74779062
Wairarapa,28675,1986,30661,243,21,264,,235,31160,38429,52261,81.08459757,43.55584082,0.85367825
Waitakere,24159,2768,26927,158,46,204,,683,27814,35685,51630,77.94311335,35.07586108,0.75190741
Wellington Central,30307,5997,36304,317,73,390,,601,37295,46258,54289,80.62389208,39.96782411,1.06284406
West Coast-Tasman,27590,2172,29762,430,9,439,,163,30364,38270,51719,79.34152077,52.75984719,1.45359425
Whanganui,28806,1680,30486,320,33,353,,343,31182,40363,56031,77.25392067,45.33063947,1.1446545
Whangarei,29662,2314,31976,136,23,159,,325,32460,40573,54133,80.00394351,42.60320394,0.49478761
Wigram,28697,2710,31407,444,51,495,,450,32352,42684,56879,75.7942086,34.63773492,1.55162686
General Electorate Totals,1719539,171408,1890947,20350,2989,23339,,29373,1943659,2475916,3366578,78.50262287,,1.21920131
Ikaroa-Rawhiti,13027,1311,14338,382,41,423,,556,15317,26781,51262,57.19353273,73.06913887,2.86565951
Tainui,12963,1541,14504,382,50,432,,642,15578,27292,54358,57.07899751,45.56425729,2.89234065
Tamaki Makaurau,13538,2066,15604,281,99,380,,704,16688,30781,54692,54.21526266,68.58221477,2.37737738
Te Tai Hauauru,12822,1195,14017,363,58,421,,526,14964,25566,51103,58.5308613,66.840417,2.91591633
Te Tai Tokerau,13908,1702,15610,401,83,484,,468,16562,28231,54466,58.66600545,47.50633981,3.00733192
Te Tai Tonga,13988,1462,15450,409,62,471,,406,16327,27193,52204,60.04118707,59.77828137,2.95835689
Waiariki,13717,1399,15116,488,91,579,,614,16309,28270,53680,57.69013088,57.39775584,3.68907295
Maori Electorate Totals,93963,10676,104639,2706,484,3190,,3916,111745,194114,371765,57.56668762,,2.95838782
Combined Totals,1813502,182084,1995586,23056,3473,26529,,33289,2055404,2670030,3738343,76.98055827,,1.31194319
