Electorate Candidate Votes and Turnout by Electorate,,,,,,,,,,,,,,
,,,,,,Party Votes Cast,,,,,,,Percentage of,
,,,Valid Votes Cast,,Informal Votes Cast,,,,,,,,,
Electoral District,Ordinary Votes,Special Votes,Valid Total (a)+(b),Ordinary Votes,Special Votes,Informal Total (d)+(e),"Ordinary
Votes
Disallowed",Special Votes Disallowed,Total Votes Cast (c)+(f)+(g)+(h),Electors on Master Roll,Electoral Population,Votes Cast to Electors on Master Roll,Valid Votes Recorded for Candidate Elected,Informal Votes Recorded
,(a),(b),(c),(d),(e),(f),,(g),(h),(i),(j),(h:i),(f:c+f),
Wigram,30365,3154,33519,649,67,716,,635,34870,43658,56879,79.87081405,45.77287066,2.0914269
General Electorate Totals,1917413,189167,2106580,18317,2573,20890,,37025,2164495,2639393,3366578,82.00730244,,0.98191749
Ikaroa-Rawhiti,16062,1624,17686,425,47,472,,819,18977,28164,51262,67.3803437,50.07113875,2.59940522
Tainui,16144,1831,17975,554,83,637,,891,19503,29669,54358,65.73527925,48.5515049,3.4225231
Tamaki Makaurau,16645,2502,19147,313,50,363,,930,20440,32940,54692,62.05221615,49.04109589,1.86058432
Te Tai Hauauru,15696,1647,17343,544,42,586,,849,18778,27407,51103,68.5153428,58.16380871,3.26844777
Te Tai Tokerau,16919,2093,19012,474,80,554,,1140,20706,29670,54466,69.78766431,48.12614701,2.8314423
Te Tai Tonga,17327,1760,19087,583,61,644,,581,20312,30203,52204,67.25159752,44.38263096,3.26389945
Waiariki,17314,1725,19039,598,57,655,,1100,20794,29950,53680,69.42904841,49.9759546,3.32588606
Maori Electorate Totals,116107,13182,129289,3491,420,3911,,6310,139510,208003,371765,67.07114801,,2.93618619
Combined Totals,2033520,202349,2235869,21808,2993,24801,,43335,2304005,2847396,3738343,80.91621257,,1.09706414
