Summary of Overall Results,,,,,,,,,,
,,,,Number of Names on Party List,,,,Number Nominated,,
,,,,548,,,,601,,
,,Party List,,,,Electorate Candidates,,,,
Parties(Grouped),Seats Allocated,Party Vote (n),Party Vote (%),No. on Party List,Seats Won,Electorate Vote (n),Electorate Vote (%),No. Nominated,Registered,Successful
99 MP Party,0,601,0.03,2,0,0,0,0,Yes,No
ACT New Zealand,1,34469,1.51,59,1,44071,1.97,56,Yes,Yes
Alliance,0,1641,0.07,30,0,1901,0.09,16,Yes,No
Aotearoa Legalise Cannabis Party,0,5748,0.25,13,0,2601,0.12,6,Yes,No
Christian Heritage NZ,0,2821,0.12,6,0,1296,0.06,5,Yes,No
Democrats for Social Credit,0,1079,0.05,29,0,565,0.03,5,Yes,No
Destiny New Zealand,0,14210,0.62,42,0,17608,0.79,39,Yes,No
Direct Democracy Party,0,782,0.03,32,0,1934,0.09,32,Yes,No
Green Party,6,120521,5.3,57,0,92164,4.12,52,Yes,Yes
Jim Anderton's Progressive,0,26441,1.16,51,1,36638,1.64,52,Yes,Yes
Labour Party,19,935319,41.1,75,31,902072,40.35,69,Yes,Yes
Libertarianz,0,946,0.04,28,0,781,0.03,11,Yes,No
Maori Party,0,48263,2.12,51,4,75076,3.36,42,Yes,Yes
National Party,17,889813,39.1,65,31,902874,40.38,62,Yes,Yes
New Zealand Family Rights Protection Party,0,1178,0.05,18,0,1045,0.05,7,Yes,No
New Zealand First Party,7,130115,5.72,40,0,78117,3.49,40,Yes,Yes
OneNZ Party,0,478,0.02,6,0,214,0.01,1,Yes,No
The Republic of New Zealand Party,0,344,0.02,6,0,131,0.01,3,Yes,No
United Future New Zealand,2,60860,2.67,57,1,63486,2.84,62,Yes,Yes
Anti-Capitalist Alliance,0,0,0,0,0,582,0.03,8,No,No
Communist League,0,0,0,0,0,107,0,2,No,No
Equal Values Party,0,0,0,0,0,86,0,1,No,No
Human Rights,0,0,0,0,0,81,0,2,No,No
NZ Econ. Euth.,0,0,0,0,0,29,0,1,No,No
NZ Republicans Party,0,0,0,0,0,64,0,3,No,No
Rangitikei First,0,0,0,0,0,426,0.02,1,No,No
Restore All Things in Christ,0,0,0,0,0,91,0,1,No,No
Independent,0,0,0,0,0,11829,0.53,18,No,No
