Electorate Candidate Special Declaration Votes by Electorate,,,,,,,,,,
,,,Electorate Candidate Special Votes Allowed ,,,,,,,
,,Valid Votes Cast,,,Informal Votes Cast,,Total,Electorate Candidate Votes Disallowed,Total Electorate Candidate Special Votes Cast,% of Electorate Special Votes Allowed to Special Votes Cast
Electorate,NZ,Overseas,Total,NZ,Overseas,Total,X,X,X,X
Albany,3359,286,3645,50,1,51,3696,,,
Aoraki,2073,103,2176,35,0,35,2211,,,
Auckland Central,4824,480,5304,59,1,60,5364,,,
Banks Peninsula,3256,224,3480,28,2,30,3510,,,
Bay of Plenty,2339,137,2476,40,1,41,2517,,,
Christchurch Central,3608,195,3803,76,1,77,3880,,,
Christchurch East,2606,78,2684,57,1,58,2742,,,
Clutha-Southland,1977,49,2026,21,0,21,2047,,,
Coromandel,2576,141,2717,51,4,55,2772,,,
Dunedin North,2529,223,2752,55,4,59,2811,,,
Dunedin South,2274,119,2393,37,3,40,2433,,,
Epsom,4546,583,5129,56,4,60,5189,,,
Hamilton East,3076,211,3287,45,4,49,3336,,,
Hamilton West,3029,135,3164,27,1,28,3192,,,
Hunua,2790,132,2922,49,0,49,2971,,,
Hutt South,2532,262,2794,56,2,58,2852,,,
Ilam,2955,366,3321,37,5,42,3363,,,
Invercargill,2324,76,2400,22,1,23,2423,,,
Kaikoura,2621,152,2773,30,2,32,2805,,,
Karapiro,2345,79,2424,22,0,22,2446,,,
Mahia,2222,89,2311,32,1,33,2344,,,
Mana,2613,199,2812,57,3,60,2872,,,
Mangere,2835,61,2896,73,1,74,2970,,,
Manukau East,3438,149,3587,57,1,58,3645,,,
Manurewa,2735,85,2820,35,0,35,2855,,,
Maungakiekie,4147,209,4356,86,0,86,4442,,,
Napier,2437,159,2596,52,5,57,2653,,,
Nelson,2334,170,2504,29,0,29,2533,,,
New Lynn,2970,128,3098,57,2,59,3157,,,
New Plymouth,2356,183,2539,29,1,30,2569,,,
North Shore,3186,570,3756,39,4,43,3799,,,
Northcote,3055,296,3351,41,1,42,3393,,,
Northland,2354,127,2481,33,2,35,2516,,,
Ohariu-Belmont,2864,400,3264,94,11,105,3369,,,
Otago,2790,118,2908,36,2,38,2946,,,
Otaki,2454,187,2641,48,2,50,2691,,,
Owairaka,3996,255,4251,78,1,79,4330,,,
Pakuranga,2669,264,2933,31,0,31,2964,,,
Palmerston North,2971,0,2971,64,0,64,3035,,,
Port Waikato,2487,78,2565,51,1,52,2617,,,
Rakaia,2514,76,2590,29,1,30,2620,,,
Rangitikei,2191,138,2329,27,1,28,2357,,,
Rimutaka,2350,191,2541,47,2,49,2590,,,
Rodney,3117,208,3325,56,3,59,3384,,,
Rongotai,3774,544,4318,71,6,77,4395,,,
Rotorua,2332,122,2454,29,1,30,2484,,,
Tamaki,3459,437,3896,85,4,89,3985,,,
Taranaki-King Country,2000,70,2070,36,0,36,2106,,,
Taupo,2358,133,2491,45,1,46,2537,,,
Tauranga,3028,184,3212,42,1,43,3255,,,
Tukituki,2409,114,2523,47,1,48,2571,,,
Waimakariri,2464,110,2574,26,1,27,2601,,,
Waipareira,3123,174,3297,83,7,90,3387,,,
Wairarapa,2045,106,2151,28,1,29,2180,,,
Waitakere,3091,237,3328,54,2,56,3384,,,
Wellington Central,4524,1470,5994,44,8,52,6046,,,
West Coast-Tasman,2119,116,2235,26,2,28,2263,,,
Whanganui,1891,111,2002,29,1,30,2032,,,
Whangarei,2630,0,2630,29,0,29,2659,,,
Wigram,3206,135,3341,62,2,64,3405,,,
General Electorate Totals,169177,12434,181611,2770,120,2890,184501,,,
Te Puku O Te Whenua,5434,29,5463,88,0,88,5551,,,
Te Tai Hauauru,6964,24,6988,184,0,184,7172,,,
Te Tai Rawhiti,3755,20,3775,108,1,109,3884,,,
Te Tai Tokerau,6968,68,7036,111,2,113,7149,,,
Te Tai Tonga,10001,64,10065,167,0,167,10232,,,
Maori Electorate Totals,33122,205,33327,658,3,661,33988,,,
Combined Totals,202299,12639,214938,3428,123,3551,218489,,,
