Summary of Overall Results,,,,,,,,,,
,,,,Number of Names on Party List,,,,Number Nominated,,
,,,,670,,,,611,,
,,Party List,,,,Electorate Candidates,,,,
Parties(Grouped),Seats Allocated,Party Vote (n),Party Vote (%),No. on Party List,Seats Won,Electorate Vote (n),Electorate Vote (%),No. Nominated,Registered,Successful
ACT New Zealand,7,126442,6.1,56,1,77319,3.75,62,Yes,Yes
Advance NZ,0,949,0.05,10,0,637,0.03,6,Yes,No
Alliance,12,209347,10.1,65,1,231944,11.25,65,Yes,Yes
Animals First,0,3543,0.17,7,0,0,0,0,Yes,No
Aotearoa Legalise Cannabis Party,0,34398,1.66,19,0,3420,0.17,4,Yes,No
Asia Pacific United Party,0,478,0.02,9,0,293,0.01,3,Yes,No
Christian Coalition,0,89716,4.33,41,0,31995,1.55,37,Yes,No
Ethnic Minority Party,0,2514,0.12,11,0,0,0,0,Yes,No
Green Society,0,2363,0.11,11,0,1140,0.06,8,Yes,No
Labour Party,11,584159,28.19,60,26,640884,31.08,65,Yes,Yes
Mana Maori Movement,0,4070,0.2,18,0,4763,0.23,7,Yes,No
McGillicuddy Serious,0,5990,0.29,65,0,12177,0.59,45,Yes,No
Natural Law Party,0,3189,0.15,65,0,5385,0.26,64,Yes,No
NZ Conservative Party,0,1431,0.07,20,0,4377,0.21,6,Yes,No
New Zealand First Party,11,276603,13.35,62,6,278103,13.49,65,Yes,Yes
National Party,14,701315,33.84,65,30,699073,33.91,64,Yes,Yes
NZ Superannuitants and Youth Action,0,1244,0.06,12,0,686,0.03,5,Yes,No
Progressive Greens,0,5288,0.26,15,0,7437,0.36,23,Yes,No
Te Ta Wharau,0,404,0.02,6,0,818,0.04,5,Yes,No
The Libertarianz,0,671,0.03,24,0,553,0.03,2,Yes,No
United New Zealand Party,0,18245,0.88,29,1,42666,2.07,25,Yes,Yes
Republican Party,0,0,0,0,0,134,0.01,5,Yes,No
Aroha-Ngia-Tatou,0,0,0,0,0,68,0,1,No,No
Blokes Liberation,0,0,0,0,0,139,0.01,1,No,No
Citizens Party,0,0,0,0,0,18,0,1,No,No
Communist League,0,0,0,0,0,99,0.01,2,No,No
Dominion Workers,0,0,0,0,0,41,0,2,No,No
Independents,0,0,0,0,0,16436,0.8,28,No,No
Indigenous Peoples,0,0,0,0,0,669,0.03,3,No,No
Private Enterprise,0,0,0,0,0,39,0,1,No,No
NZ Economic Euthenics,0,0,0,0,0,16,0,1,No,No
NZ Progressive Party,0,0,0,0,0,196,0.01,3,No,No
Nga Iwi Morehu Movement,0,0,0,0,0,194,0.01,1,No,No
World Socialist Party (NZ),0,0,0,0,0,27,0,1,No,No
