Part V - Electorate Summary of Votes for Registered Parties,,,,,,,,,,,,,,,,,,,,,,,
,XXX,,,,,,,,,,,,,,,,,,,,,,
Electorate,ACT New Zealand,Advance NZ,Alliance,Animals First,Aoteroa Legalise Cannabis Party,Asia Pacific United Party,Christian Coalition,Ethnic Minority Party,Green Society,Labour Party,Mana Maori Movement,McGillicuddy Serious,Natural Law Party,NZ Conservative Party,New Zealand First Party,National Party,NZ Superannutants and Youth Action,Progressive Greens,Te Tawharau,Libertariannz,United Future,Total Valid Party Votes,Informal Party Votes
Tauranga,1580,5,2621,43,386,5,2612,3,21,8187,7,109,19,10,9849,12325,62,76,3,6,189,38118,141
Tukituki,2019,1,3024,39,576,28,1567,4,24,9916,14,64,76,6,3643,10431,8,75,3,8,161,31687,119
Waimakariri,1382,10,4047,43,411,1,1678,3,18,10631,11,81,57,7,3499,12824,14,60,0,1,217,34995,136
Waipareira,1895,20,2932,59,501,6,2029,88,24,10208,9,91,155,5,3791,11837,37,90,1,7,122,33907,181
Wairarapa,2072,3,4409,43,486,4,1287,4,8,7704,10,95,90,14,5074,10562,18,105,2,7,198,32195,112
Waitakere,2102,19,2868,74,691,13,1583,39,73,9742,13,82,48,10,3520,11007,47,244,0,32,169,32376,62
Wellington Central,2717,10,3766,69,912,27,973,23,11,10816,20,121,47,6,1515,18780,14,121,0,21,1151,41120,109
West Coast-Tasman,1111,4,5152,46,632,0,1073,0,9,9773,3,191,58,24,3860,8526,4,96,2,8,122,30694,136
Whanganui,1240,12,4397,51,492,1,1558,9,18,9078,20,93,52,135,4552,10189,14,55,4,3,202,32175,107
Whangarei,2272,0,2945,53,403,6,1675,7,14,7844,10,124,57,9,6607,11182,34,89,0,8,166,33505,149
Wigram,946,6,7492,77,636,3,1604,17,10,10843,8,123,61,4,2627,9527,10,100,1,4,321,34420,141
General Electorate Totals,125369,929,200706,3416,30563,474,87827,2486,2257,551721,718,5826,3087,1408,233627,695131,1202,5091,105,658,18128,1970729,6929
Te Puku O Te Whenua,251,1,1587,13,858,0,315,9,18,5918,746,20,22,8,7700,958,8,31,47,3,10,18523,267
Te Tai Hauauru,164,4,1565,26,723,0,320,6,17,6619,698,43,16,4,9026,1171,8,46,24,1,21,20502,364
Te Tai Rawhiti,188,6,1381,25,623,2,433,4,19,6558,649,27,27,2,10030,897,11,33,171,2,15,21103,206
Te Tai Tokerau,238,6,1818,35,735,0,380,2,30,6176,592,37,25,4,9644,1426,6,54,22,3,19,21252,235
Te Tai Tonga,232,3,2290,28,896,2,441,7,22,7167,667,37,12,5,6576,1732,9,33,35,4,52,20250,182
Maori Electorate Totals,1073,20,8641,127,3835,4,1889,28,106,32438,3352,164,102,23,42976,6184,42,197,299,13,117,101630,1254
Combined Totals,126442,949,209347,3543,34398,478,89716,2514,2363,584159,4070,5990,3189,1431,276603,701315,1244,5288,404,671,18245,2072359,8183
