Percentage of Electorate Candidate Votes of Successful Registered Parties,,,,,,,,,,,,,,,,,
Electorate,National Party,,Labour Party,,New Zealand First Party,,Alliance,,ACT New Zealand,,United New Zealand Party,,Christian Coalition,,Other,,Total Valid Votes
,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,Votes,%,
Rotorua,12124,40.98,4149,14.02,5029,17,6228,21.05,371,1.25,0,0,864,2.92,820,2.77,29585
Tamaki,14838,46.62,6.828,21.45,2849,8.95,2066,6.49,4177,13.12,0,0,0,0,1069,3.36,31827
Taranaki-King Country,14934,54.6,3575,13.07,4711,17.22,2560,9.36,902,3.3,0,0,0,0,672,2.45,27154
Tanpo,9560,33.43,11134,38.94,5362,18.75,1507,5.27,552,1.93,0,0,0,0,480,1.68,28595
Tauranga,10969,28.85,3745,9.85,18997,49.97,1570,4.13,615,1.62,0,0,1679,4.42,440,1.16,38015
Tukituki,7538,23.9,14.764,46.81,2559,8.11,1864,5.91,3588,11.38,0,0,1021,3.24,203,0.64,31537
Waimakariri,9269,26.51,19875,56.85,1888,5.4,2370,6.78,401,1.15,0,0,1014,2.9,144,0.41,34961
Walpareira,12123,35.93,12016,35.61,4920,14.58,3818,11.31,680,2.02,0,0,0,0,186,0.55,33743
Wairarapa,14505,45.16,4525,14.09,4519,14.07,6638,20.66,742,2.31,0,0,717,2.23,476,1.48,32122
Waitakere,12485,38.82,10504,32.66,3065,9.53,3122,9.71,885,2.75,0,0,0,0,2102,6.54,32163
Wellington Central,8794,21.44,12409,30.25,480,1.17,1356,3.31,14269,34.78,2233,5.44,300,0.73,1185,2.89,41026
West Coast-Tasman,7750,25.28,16241,52.99,1823,5.95,3064,10,539,1.76,0,0,474,1.55,760,2.48,30651
Whanganui,10759,33.59,12973,40.51,2854,8.91,2981,9.31,427,1.33,0,0,1333,4.16,701,2.19,32028
Whangarei,12.993,38.88,3461,10.36,12610,37.74,1759,5.26,1940,5.81,65,0.19,0,0,586,1.75,33414
Wigram,7275,21.27,6343,18.54,1827,5.34,17314,50.62,497,1.45,340,0.99,0,0,609,1.78,34205
General Electoral Totals,694554,35.43,611639,31.2,228593,11.66,224409,11.45,75877,3.87,42666,2.18,31008,1.58,51623,2.63,1960369
Te Puku O Te Whemrn,877,4.73,5388,29.08,7774,41.95,1571,8.48,923,4.98,0,0,319,1.72,1679,9.06,18531
Te Tai Hauauru,1090,5.32,5645,27.56,10606,51.78,1370,6.69,167,0.82,0,0,369,1.8,1234,6.03,20481
Te Tai Rawhiti,506,2.41,6432,30.65,10647,50.73,1210,5.77,352,1.68,0,0,0,0,1840,8.77,20987
Te Tai Tokcrau,931,4.39,4408,20.77,12826,60.43,1468,6.92,0,0,0,0,299,1.41,1293,6.09,21225
Te Tai Tonga,1115,5.53,7372,36.58,7657,37.99,1916,9.51,0,0,0,0,0,0,2093,10.39,20153
Maori Electorate Total,4519,4.46,29245,28.85,49510,48.84,7535,7.43,1442,1.42,0,0,987,0.97,8139,8.03,101377
Combined Totals,699073,33.91,640884,31.08,278103,13.49,231944,11.25,77319,3.75,42666,2.07,31995,1.55,59762,2.9,2061746
