Party Special Declaration Votes by Electorate,,,,,,,,,,
,,,Special Votes Allowed ,,,,,,,
,,Valid Votes Cast,,,Informal Votes Cast,,Total,Party Votes Disallowed,Total Party Special Votes Cast,% of Party Special Allowed
Electorate,NZ,Overseas,Total,NZ,Overseas,Total,X,X,X,X
Albany,3398,286,3684,11,1,12,3696,,,
Aoraki,2102,103,2205,6,0,6,2211,,,
Auckland Central,4865,480,5345,18,1,19,5364,,,
Banks Peninsula,3268,225,3493,16,1,17,3510,,,
Bay of Plenty,2372,138,2510,7,0,7,2517,,,
Christchurch Central,3673,196,3869,11,0,11,3880,,,
Christchurch East,2650,79,2729,13,0,13,2742,,,
Clutha-Southland,1992,49,2041,6,0,6,2047,,,
Coromandel,2618,145,2763,9,0,9,2772,,,
Dunedin North,2574,226,2800,10,1,11,2811,,,
Dunedin South,2298,121,2419,13,1,14,2433,,,
Epsom,4584,585,5169,18,2,20,5189,,,
Hamilton East,3113,215,3328,8,0,8,3336,,,
Hamilton West,3049,136,3185,7,0,7,3192,,,
Hunua,2824,132,2956,15,0,15,2971,,,
Hutt South,2569,263,2832,19,1,20,2852,,,
Ilam,2981,371,3352,11,0,11,3363,,,
Invercargill,2335,77,2412,11,0,11,2423,,,
Kaikoura,2643,154,2797,8,0,8,2805,,,
Karapiro,2364,79,2443,3,0,3,2446,,,
Mahia,2253,90,2343,1,0,1,2344,,,
Mana,2645,202,2847,25,0,25,2872,,,
Mangere,2858,61,2919,50,1,51,2970,,,
Manukau East,3477,150,3627,18,0,18,3645,,,
Manurewa,2750,84,2834,20,1,21,2855,,,
Maungakiekie,4212,209,4421,21,0,21,4442,,,
Napier,2481,163,2644,8,1,9,2653,,,
Nelson,2337,170,2507,26,0,26,2533,,,
New Lynn,3012,129,3141,15,1,16,3157,,,
New Plymouth,2374,183,2557,11,1,12,2569,,,
North Shore,3218,572,3790,7,2,9,3799,,,
Northcote,3080,297,3377,16,0,16,3393,,,
Northland,2373,127,2500,14,2,16,2516,,,
Ohariu-Belmont,2948,409,3357,10,2,12,3369,,,
Otago,2819,118,2937,7,2,9,2946,,,
Otaki,2481,188,2669,21,1,22,2691,,,
Owairaka,4039,255,4294,35,1,36,4330,,,
Pakuranga,2692,263,2955,8,1,9,2964,,,
Palmerston North,3027,0,3027,8,0,8,3035,,,
Port Waikato,2518,79,2597,20,0,20,2617,,,
Rakaia,2534,77,2611,9,0,9,2620,,,
Rangitikei,2208,139,2347,10,0,10,2357,,,
Rimutaka,2377,193,2570,20,0,20,2590,,,
Rodney,3166,211,3377,7,0,7,3384,,,
Rongotai,3823,549,4372,22,1,23,4395,,,
Rotorua,2347,123,2470,14,0,14,2484,,,
Tamaki,3508,440,3948,36,1,37,3985,,,
Taranaki-King Country,2026,70,2096,10,0,10,2106,,,
Taupo,2396,134,2530,7,0,7,2537,,,
Tauranga,3044,185,3229,26,0,26,3255,,,
Tukituki,2443,115,2558,13,0,13,2571,,,
Waimakariri,2481,110,2591,9,1,10,2601,,,
Waipareira,3157,180,3337,49,1,50,3387,,,
Wairarapa,2063,107,2170,10,0,10,2180,,,
Waitakere,3138,239,3377,7,0,7,3384,,,
Wellington Central,4547,1473,6020,21,5,26,6046,,,
West Coast-Tasman,2139,118,2257,6,0,6,2263,,,
Whanganui,1911,112,2023,9,0,9,2032,,,
Whangarei,2645,0,2645,14,0,14,2659,,,
Wigram,3251,137,3388,17,0,17,3405,,,
General Electorate Totals,171070,12521,183591,877,33,910,184501,,,
Te Puku O Te Whenua,5425,29,5454,97,0,97,5551,,,
Te Tai Hauauru,6982,24,7006,166,0,166,7172,,,
Te Tai Rawhiti,3799,21,3820,64,0,64,3884,,,
Te Tai Tokerau,6965,69,7034,114,1,115,7149,,,
Te Tai Tonga,10054,64,10118,114,0,114,10232,,,
Maori Electorate Totals,33225,207,33432,555,1,556,33988,,,
Combined Totals,204295,12728,217023,1432,34,1466,218489,,,
